iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h
0,0.7252665279999064,2.11968,1.6688196659088135,0.09679216891527176,0.6992163062095642,nan,0.16269396245479584,0.0,0.0,0.0,nan,nan,0.0,0.0,0.3380858103434245,0.3353584110736847
1,0.37663491799992244,3.164672,1.465377688407898,0.12432295083999634,0.6385667324066162,nan,0.14147207140922546,0.0,0.0,0.0,nan,nan,0.0,0.0,0.33765220642089844,0.3363545835018158
2,0.3744039309999607,3.164672,1.2006235122680664,0.16398699581623077,0.605283796787262,nan,0.1134733185172081,0.0,0.0,0.0,nan,nan,0.0,0.0,0.33651475111643475,0.3359857499599457
3,0.3835379050000256,3.164672,0.8241239786148071,0.2289128452539444,0.5342885255813599,nan,0.07427690923213959,0.0,0.0,0.0,nan,nan,0.0,0.0,0.33723243077596027,0.33616676926612854
4,0.3775554700000612,3.164672,0.4454588294029236,0.31699252128601074,0.2995494306087494,nan,0.034379005432128906,0.0,0.0,0.0,nan,nan,0.0,0.0,0.33822377522786456,0.3372528851032257
5,0.37492624300000443,3.164672,0.19814695417881012,0.4193463921546936,0.10079114139080048,nan,0.007504819892346859,0.0,0.0,0.0,nan,nan,0.0,0.0,0.3381557861963908,0.3371112048625946
6,0.37589669700003014,3.164672,0.16880111396312714,0.5210777521133423,0.1930680125951767,nan,0.0014543421566486359,0.0,0.0,0.0,nan,nan,0.0,0.0,0.33628352483113605,0.3343128561973572
7,0.3770378270000947,3.164672,0.3074125349521637,0.5915404558181763,0.37008747458457947,nan,0.009043555706739426,0.0,0.0,0.0,nan,nan,0.0,0.0,0.3316233555475871,0.3278469443321228
8,0.38021772899992357,3.164672,0.41497817635536194,0.6142124533653259,0.4242047071456909,nan,0.013814917765557766,0.0,0.0,0.0,nan,nan,0.0,0.0,0.3231864968935649,0.31755176186561584
9,0.3767369120000694,3.164672,0.4806787371635437,0.6259477138519287,0.4023451507091522,nan,0.017021026462316513,0.0,0.0,0.0,nan,nan,0.0,0.0,0.31216110785802204,0.3057153820991516
10,0.3745048459999225,3.164672,0.5684179663658142,0.6482381820678711,0.5124919414520264,nan,0.023199385032057762,0.0,0.0,0.0,nan,nan,0.0,0.0,0.3006356358528137,0.29345953464508057
11,0.3738327030000619,3.164672,0.639471173286438,0.6726571917533875,0.567223846912384,nan,0.030667847022414207,0.0,0.0,0.0,nan,nan,0.0,0.0,0.2884169816970825,0.2798640727996826
12,0.3739351990000159,3.164672,0.7057355642318726,0.6896792054176331,0.5656931400299072,nan,0.036354463547468185,0.0,0.0,0.0,nan,nan,0.0,0.0,0.27449917793273926,0.2644751965999603
13,0.3811595720000014,3.164672,0.835864782333374,0.7100738286972046,0.5739615559577942,nan,0.04448000714182854,0.0,0.0,0.0,nan,nan,0.0,0.0,0.2587670882542928,0.24778509140014648
14,0.3825445500000342,3.164672,1.1751971244812012,0.6084253787994385,0.34851735830307007,nan,0.06882083415985107,0.0,0.0,0.0,nan,nan,0.0,0.0,0.24279705683390299,0.2369079291820526
15,0.38123589200006336,3.164672,5.142346382141113,-0.18043242394924164,2.6462011337280273,nan,0.4722077250480652,0.0,0.0,0.0,nan,nan,0.0,0.0,0.25469493865966797,0.2386486530303955
16,0.3889755849999119,3.164672,5.207085609436035,-0.1881282478570938,2.7815053462982178,nan,0.4765464961528778,0.0,0.0,0.0,nan,nan,0.0,0.0,0.2764611442883809,0.26496657729148865
17,0.38333387300008326,3.164672,3.2643749713897705,-0.031118255108594894,2.1027207374572754,nan,0.2855994701385498,0.0,0.0,0.0,nan,nan,0.0,0.0,0.28929175933202106,0.2819552719593048
18,0.38117241300005844,3.164672,2.4718923568725586,0.04881809279322624,1.4619475603103638,nan,0.20608466863632202,0.0,0.0,0.0,nan,nan,0.0,0.0,0.29634026686350506,0.2927011251449585
19,0.380909029999998,3.164672,2.6973137855529785,0.026560503989458084,1.5078794956207275,nan,0.2270345687866211,0.0,0.0,0.0,nan,nan,0.0,0.0,0.2999632954597473,0.29779931902885437
20,0.38015944799997214,3.164672,2.955655813217163,0.0008844169205985963,1.6241464614868164,nan,0.25212642550468445,0.0,0.0,0.0,nan,nan,0.0,0.0,0.30122949679692584,0.30032381415367126
21,0.3819506109999793,3.164672,3.123481035232544,-0.016411785036325455,1.5519825220108032,nan,0.269540935754776,0.0,0.0,0.0,nan,nan,0.0,0.0,0.3005448778470357,0.29935717582702637
22,0.3807626139999911,3.164672,3.172084093093872,-0.020375845953822136,1.3460105657577515,nan,0.27349913120269775,0.0,0.0,0.0,nan,nan,0.0,0.0,0.29883060852686566,0.2973560690879822
23,0.38005001600004107,3.164672,3.0389368534088135,-0.008106309920549393,1.2708935737609863,nan,0.26069092750549316,0.0,0.0,0.0,nan,nan,0.0,0.0,0.29701751470565796,0.2956826090812683
24,0.3817539909999823,3.164672,2.8879330158233643,0.006566518917679787,1.1785329580307007,nan,0.245681494474411,0.0,0.0,0.0,nan,nan,0.0,0.0,0.29566796620686847,0.29454049468040466
25,0.3808942170001046,3.164672,2.812445640563965,0.014203222468495369,1.1639043092727661,nan,0.23793703317642212,0.0,0.0,0.0,nan,nan,0.0,0.0,0.295102596282959,0.29406651854515076
