iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,0.6867748610000035,2.123776,1.668826699256897,0.09679216891527176,0.6992154717445374,nan,0.16269396245479584,0.0,9.629013948142529e-05,0.36070847511291504,0.018377047032117844,0.0,0.0,nan,nan,0.0,0.0,0.3380858103434245,0.3353584110736847,2.4921875,0.3380858103434245,0.021420493721961975,0.011664256453514099
1,0.359608838999975,3.168768,1.4650245904922485,0.12436875700950623,0.6385713815689087,nan,0.1414368450641632,0.0,0.0003112094709649682,0.01875019073486328,0.05765180289745331,0.0,0.0,nan,nan,0.0,0.0,0.33765188852945965,0.3363550007343292,4.0,0.33765188852945965,0.023018144071102142,0.023000657558441162
2,0.35904972699995596,3.168768,1.2012263536453247,0.16389688849449158,0.6054343581199646,nan,0.11353379487991333,0.0,0.00028311414644122124,0.02751171588897705,0.23374256491661072,0.0,0.0,nan,nan,0.0,0.0,0.33651336034138996,0.3359847068786621,4.0,0.33651336034138996,0.02298218508561452,0.0229533389210701
3,0.35937985399993977,3.168768,0.8240934610366821,0.22890987992286682,0.5344324707984924,nan,0.07427407056093216,0.0,0.0002492173807695508,0.0271304901689291,0.58707594871521,0.0,0.0,nan,nan,0.0,0.0,0.33723020553588867,0.3361656367778778,4.0,0.33723020553588867,0.02292131632566452,0.022877104580402374
4,0.36092255699998077,3.168768,0.4456126391887665,0.31695756316185,0.2995871603488922,nan,0.03439446538686752,0.0,0.0002575500984676182,0.021332671865820885,1.2171638011932373,0.0,0.0,nan,nan,0.0,0.0,0.3382219076156616,0.3372427821159363,4.0,0.3382219076156616,0.022831852237383526,0.02276977151632309
5,0.3611175930000172,3.168768,0.19814860820770264,0.41937345266342163,0.10090617090463638,nan,0.007504738867282867,0.0,0.0002606967173051089,0.016351651400327682,2.2611842155456543,0.0,0.0,nan,nan,0.0,0.0,0.3381541570027669,0.33711791038513184,4.0,0.3381541570027669,0.022710415224234264,0.02262890338897705
6,0.359844421000048,3.168768,0.16880938410758972,0.5210797786712646,0.19310519099235535,nan,0.0014511676272377372,0.0,0.0002339331404073164,0.022826243191957474,3.649517059326172,0.0,0.0,nan,nan,0.0,0.0,0.3362807035446167,0.33430323004722595,4.0,0.3362807035446167,0.022553508480389912,0.022451035678386688
7,0.3607520470000054,3.168768,0.3077268600463867,0.591680109500885,0.37015634775161743,nan,0.009061544202268124,0.0,0.0002907179296016693,0.06024401634931564,4.665199279785156,0.0,0.0,nan,nan,0.0,0.0,0.3316141366958618,0.327850878238678,3.8255208333333335,0.3316141366958618,0.022364596525828045,0.02224893867969513
8,0.35950460999993084,3.168768,0.4157531261444092,0.614456295967102,0.42497047781944275,nan,0.013882366940379143,0.0,0.0008206182974390686,0.16003908216953278,4.95761775970459,0.0,0.0,nan,nan,0.0,0.0,0.3231657346089681,0.31750568747520447,2.5,0.3231657346089681,0.022161404291788738,0.022053465247154236
9,0.3603218289999859,3.168768,0.48239895701408386,0.6263226866722107,0.40362587571144104,nan,0.01717870868742466,0.0,0.0029066945426166058,0.5007516741752625,4.75629997253418,0.0,0.0,nan,nan,0.0,0.0,0.31212127208709717,0.305695503950119,2.1666666666666665,0.31212127208709717,0.021993535260359447,0.02188606560230255
10,0.3593888689999858,3.168768,0.5713033080101013,0.6487221717834473,0.5146599411964417,nan,0.023460671305656433,0.0,0.009157220833003521,1.096142292022705,4.229819297790527,0.0,0.0,nan,nan,0.0,0.0,0.3005662163098653,0.2934361696243286,2.1666666666666665,0.3005662163098653,0.02180193116267522,0.021674469113349915
