iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.7895087769999805,63.989248,1.7409253120422363,0.09232635796070099,0.6791853308677673,2.4853515625,0.16930866241455078,0.0,0.00035176798701286316,0.32438454031944275,0.01828191615641117,2.7146928914589807e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33798694610595703,0.29612886905670166,2.910888671875,0.2570555607477824,0.01996548722187678,-0.10674947500228882
1,0.8846839359999876,64.61696,1.600109338760376,0.11172682046890259,0.617409348487854,2.4853515625,0.15484443306922913,0.0,0.0007640851545147598,0.04411384090781212,0.06437908858060837,8.07131000328809e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33717505137125653,0.29278677701950073,3.8634033203125,0.2561742266019185,0.021237261593341827,-0.07311517000198364
2,0.8874271219999912,64.61696,1.3402684926986694,0.1479610949754715,0.5911343693733215,2.4853515625,0.1277868151664734,0.0,0.000871263793669641,0.04756830632686615,0.23302285373210907,0.00018445307796355337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33592283725738525,0.2924298048019409,3.8941650390625,0.25480834643046063,0.02129340171813965,-0.053086817264556885
3,0.8887738200000115,64.61696,0.9369432330131531,0.2123541533946991,0.5051178932189941,2.4853515625,0.08592518419027328,0.0,0.0009708655416034162,0.04997697472572327,0.6071029901504517,0.00035641234717331827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33644453684488934,0.29633334279060364,3.8752034505208335,0.2552608847618103,0.021223405996958416,-0.02929852157831192
4,0.8917603820000011,64.61696,0.5224953889846802,0.30144813656806946,0.3217664659023285,2.4853515625,0.04219059273600578,0.0,0.0011342428624629974,0.0397132970392704,1.2897906303405762,0.0006048086797818542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3372487227121989,0.30290067195892334,3.8653564453125,0.25606395800908405,0.021144730349381764,-0.03415638208389282
5,0.8913539820000267,64.61696,0.24785374104976654,0.40786510705947876,0.11313291639089584,2.4853515625,0.011290396563708782,0.0,0.0012293198378756642,0.025741513818502426,2.364058494567871,0.0008998278062790632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371915817260742,0.2994287312030792,3.8564453125,0.25598857800165814,0.021012286345163982,-0.04385501146316528
6,0.8959175199999834,64.61696,0.21118777990341187,0.5135650634765625,0.1901194304227829,2.4853515625,0.003250915091484785,0.0,0.0011748136021196842,0.031910479068756104,3.801748752593994,0.0011677057482302189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33545172214508057,0.29361492395401,3.8471272786458335,0.25427889823913574,0.020876300831635792,-0.05419290065765381
7,0.8908081570000093,64.61696,0.3374805450439453,0.5913927555084229,0.3784489333629608,2.4853515625,0.011253107339143753,0.0,0.001140620093792677,0.07203756272792816,4.930233478546143,0.0013084750389680266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33108486731847125,0.2846464514732361,3.7530517578125,0.24986581007639566,0.02071952571471532,-0.06368440389633179
8,0.895793239000028,64.61696,0.43157151341438293,0.6185346841812134,0.4458778500556946,2.4853515625,0.01678020879626274,0.0,0.0015282267704606056,0.164314866065979,5.350795269012451,0.0012782963458448648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3227815628051758,0.2627839744091034,3.2799072265625,0.24152827262878418,0.020569544285535812,-0.06899940967559814
9,0.8802205310000204,64.61696,0.493692547082901,0.6297153234481812,0.45166003704071045,2.4853515625,0.01949925348162651,0.0,0.00332725141197443,0.4695354104042053,5.223481178283691,0.001172088086605072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31128044923146564,0.251420259475708,3.2164306640625,0.23006155093510947,0.020497754216194153,-0.07299643754959106
