iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,1.6141136299999914,2.134528,7.174685478210449,0.096063032746315,0.7491123080253601,nan,0.7106791734695435,0.0,9.405805030837655e-05,0.0,0.0,0.7478060722351074,0.018662959337234497,0.0003205443499609828,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33809057871500653,0.335358202457428,2.6614583333333335,0.33809057871500653,0.021420910954475403,0.01166398823261261
1,0.36435634400001504,3.18208,7.079953193664551,0.08615055680274963,0.37342560291290283,nan,0.7013606429100037,0.0,0.0003197526966687292,0.0,0.0,0.40989822149276733,0.10553820431232452,0.002178329974412918,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3373454809188843,0.3356059789657593,3.1328125,0.3373454809188843,0.02302089085181554,0.0230097696185112
2,0.3629723400000273,3.18208,6.834831237792969,0.0210049320012331,0.429351806640625,nan,0.6761288642883301,0.0,0.00036249830736778677,0.0,0.0,0.40194806456565857,0.2704177498817444,0.005858843680471182,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3350357214609782,0.33406439423561096,3.0989583333333335,0.3350357214609782,0.02301272749900818,0.023008301854133606
3,0.3615252220000116,3.18208,6.68103551864624,-0.07232632488012314,0.38822028040885925,nan,0.6604154109954834,0.0,0.0003657768829725683,0.0,0.0,0.41641220450401306,0.47855696082115173,0.011360685341060162,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3343435923258464,0.333781898021698,3.1197916666666665,0.3343435923258464,0.023023441433906555,0.0230088010430336
4,0.3657790709999915,3.18208,6.729583740234375,-0.17045347392559052,0.7545357346534729,nan,0.6660215854644775,0.0,0.0003940609749406576,0.0,0.0,0.4422450065612793,0.648152768611908,0.018731815740466118,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3340439399083455,0.33350199460983276,2.9661458333333335,0.3340439399083455,0.02306724339723587,0.02302820235490799
5,0.36337271900001156,3.18208,6.930457592010498,-0.25543850660324097,1.0724194049835205,nan,0.6863228678703308,0.0,0.0005805595428682864,0.0,0.0,0.4733496606349945,0.7774914503097534,0.028071796521544456,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3332352042198181,0.3323574960231781,3.2552083333333335,0.3332352042198181,0.023115649819374084,0.023078151047229767
6,0.3631910430000005,3.18208,7.206764221191406,-0.31425708532333374,0.9883411526679993,nan,0.7136095762252808,0.0,0.0009710236918181181,0.0,0.0,0.49411246180534363,0.8707793951034546,0.039465583860874176,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33171425263086957,0.33034253120422363,3.8515625,0.33171425263086957,0.023172808190186817,0.023137718439102173
7,0.3630649210000172,3.18208,7.307485580444336,-0.3261035978794098,0.6272935271263123,nan,0.7232621908187866,0.0,0.0015976706054061651,0.0,0.0,0.4999551475048065,0.9421440958976746,0.052934762090444565,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32952727874120075,0.3276135325431824,3.96875,0.32952727874120075,0.02323555697997411,0.02319815754890442
8,0.36308444799999506,3.18208,7.189995288848877,-0.28875619173049927,0.6727290153503418,nan,0.7111288905143738,0.0,0.0024103973992168903,0.0,0.0,0.489822119474411,0.9972281455993652,0.06839242577552795,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32670968770980835,0.3244349956512451,3.9895833333333335,0.32670968770980835,0.023294066389401753,0.023260608315467834
9,0.363921691999991,3.18208,6.970378875732422,-0.20890021324157715,0.6330075860023499,nan,0.6877506971359253,0.0,0.0033408496528863907,0.0,0.0,0.45791393518447876,1.0283173322677612,0.08560504019260406,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3237710992495219,0.32156428694725037,3.7786458333333335,0.3237710992495219,0.02333991229534149,0.0233117938041687
10,0.3615154910000058,3.18208,6.830316543579102,-0.10455097258090973,0.777603805065155,nan,0.6732122302055359,0.0,0.004221129696816206,0.0,0.0,0.41988405585289,1.0957587957382202,0.10430219769477844,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3215601046880086,0.3198601007461548,3.6119791666666665,0.3215601046880086,0.023366918166478474,0.023343943059444427
11,0.35933619400000794,3.18208,6.873264312744141,0.004627235233783722,1.12941312789917,nan,0.6774697303771973,0.0,0.004778828006237745,0.0,0.0,0.39146122336387634,1.2488101720809937,0.12439249455928802,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32068316141764325,0.3194870054721832,3.8229166666666665,0.32068316141764325,0.023372602959473927,0.023345187306404114
12,0.36206308900000295,3.18208,7.100503444671631,0.10807893425226212,1.0435775518417358,nan,0.7000371813774109,0.0,0.004900860134512186,0.0,0.0,0.39496946334838867,1.5001753568649292,0.1459091603755951,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32105523347854614,0.3196162283420563,3.9296875,0.32105523347854614,0.0233583003282547,0.02331744134426117
13,0.36026823099999206,3.18208,7.439691543579102,0.1996534764766693,0.912878155708313,nan,0.7331575155258179,0.0,0.004843616392463446,0.0,0.0,0.44326719641685486,1.8513067960739136,0.16895191371440887,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3219920794169108,0.32010239362716675,3.9739583333333335,0.3219920794169108,0.023326406876246136,0.02327265590429306
14,0.3624109429999862,3.18208,7.776587009429932,0.2682751417160034,0.7679529190063477,nan,0.7662980556488037,0.0,0.005233563482761383,0.0,0.0,0.5181180834770203,2.2866382598876953,0.1937314122915268,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32280441125233966,0.32106104493141174,4.0,0.32280441125233966,0.02327714612086614,0.0232112854719162
15,0.36300483299999087,3.18208,7.965816020965576,0.3007882535457611,0.986013650894165,nan,0.7837740182876587,0.0,0.006629485636949539,0.0,0.0,0.5916469097137451,2.872161388397217,0.22052377462387085,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32317747672398883,0.32179418206214905,4.0,0.32317747672398883,0.023211461802323658,0.023135483264923096
16,0.3605024199999889,3.18208,7.916593551635742,0.2938206195831299,1.1153713464736938,nan,0.7771849036216736,0.0,0.009380258619785309,0.0,0.0,0.6450206637382507,3.5130672454833984,0.24949505925178528,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3229519526163737,0.3217281401157379,3.640625,0.3229519526163737,0.023133655389149983,0.023053668439388275
17,0.3643593990000227,3.18208,7.654360771179199,0.2509087324142456,1.3623077869415283,nan,0.7499790191650391,0.0,0.01357739046216011,0.0,0.0,0.6948890089988708,4.128912925720215,0.28075647354125977,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3220689495404561,0.32042834162712097,3.0208333333333335,0.3220689495404561,0.02305194487174352,0.022973202168941498
18,0.3620494570000119,3.18208,7.310043811798096,0.18699456751346588,1.5139378309249878,nan,0.7141405940055847,0.0,0.019681833684444427,0.0,0.0,0.7875922918319702,4.774421691894531,0.31407517194747925,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32110275824864704,0.31946513056755066,3.0,0.32110275824864704,0.02297708143790563,0.022901050746440887
