iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.013987218999773,99.445248,1.737988829612732,0.09238149970769882,0.6790551543235779,2.4853515625,0.16928228735923767,0.0,0.00035152267082594335,0.0,0.0,0.0,0.0,0.0,0.32429689168930054,0.018281560391187668,2.7151399990543723e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3379873037338257,0.29612886905670166,2.9171142578125,0.2570558985074361,0.020044478277365368,-0.10674935579299927
1,0.923907422999946,100.07296,1.5970338582992554,0.11178864538669586,0.6172701120376587,2.4853515625,0.1548132300376892,0.0,0.0007635726360604167,0.0,0.0,0.0,0.0,0.0,0.04444318264722824,0.06543179601430893,8.093177166301757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33717501163482666,0.29278719425201416,3.8673909505208335,0.2561742067337036,0.021332951883474987,-0.07293516397476196
2,0.931935292000162,100.07296,1.3368905782699585,0.1480441689491272,0.5907662510871887,2.4853515625,0.12772946059703827,0.0,0.0008711476693861187,0.0,0.0,0.0,0.0,0.0,0.047747038304805756,0.233820840716362,0.00018571862892713398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33592204252878827,0.2924298942089081,3.8942057291666665,0.2548073927561442,0.021296503643194836,-0.029062241315841675
3,0.9323558090000006,100.07296,0.9338144063949585,0.21241405606269836,0.5048072934150696,2.4853515625,0.08588123321533203,0.0,0.0009698180365376174,0.0,0.0,0.0,0.0,0.0,0.04999568313360214,0.6066727042198181,0.00036050667404197156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364435036977132,0.29633089900016785,3.87939453125,0.2552591959635417,0.02122361958026886,-0.029294893145561218
4,0.9323504290000528,100.07296,0.519410252571106,0.30153343081474304,0.3213269114494324,2.4853515625,0.042143069207668304,0.0,0.001131837023422122,0.0,0.0,0.0,0.0,0.0,0.03972297161817551,1.2893602848052979,0.0006131981499493122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3372486432393392,0.3028864860534668,3.8642578125,0.25606270631154376,0.021141613523165386,-0.034001827239990234
5,0.9383008039999368,100.07296,0.24514272809028625,0.4079338014125824,0.11292273551225662,2.4853515625,0.011276024393737316,0.0,0.001226864056661725,0.0,0.0,0.0,0.0,0.0,0.0256342850625515,2.3629703521728516,0.0009114111308008432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33718963464101154,0.29944291710853577,3.8570963541666665,0.2559884389241536,0.02101132522026698,-0.04370671510696411
6,0.9384411279997948,100.07296,0.20865395665168762,0.5136029720306396,0.1907864809036255,2.4853515625,0.003253977745771408,0.0,0.001172332325950265,0.0,0.0,0.0,0.0,0.0,0.03157229721546173,3.799891233444214,0.001177934929728508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33545200030008954,0.2936370074748993,3.8452555338541665,0.25427907705307007,0.020875593026479084,-0.05398052930831909
7,0.9826300620002257,100.07296,0.3348172605037689,0.5913591980934143,0.378846138715744,2.4853515625,0.011256372556090355,0.0,0.0011395490728318691,0.0,0.0,0.0,0.0,0.0,0.07195845991373062,4.925671100616455,0.0013122465461492538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3310827612876892,0.2846747934818268,3.7436116536458335,0.2498659094174703,0.020717839399973553,-0.06352555751800537
8,0.9437850009999238,100.07296,0.4282476305961609,0.6183902025222778,0.4458390176296234,2.4853515625,0.01675526238977909,0.0,0.0015296151395887136,0.0,0.0,0.0,0.0,0.0,0.16459539532661438,5.343886852264404,0.001273860689252615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32278233766555786,0.26281309127807617,3.2725423177083335,0.24152902762095133,0.02056688318649928,-0.06890469789505005
9,0.9274803860002976,100.07296,0.48968684673309326,0.6295337080955505,0.4524998366832733,2.4853515625,0.019456028938293457,0.0,0.003332309192046523,0.0,0.0,0.0,0.0,0.0,0.4699166715145111,5.214810371398926,0.0011609731009230018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112872044245402,0.25080880522727966,3.2091064453125,0.230067511399587,0.020498103151718777,-0.07278406620025635
