iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.0227580289997604,99.445248,1.7382689714431763,0.092323437333107,0.6791309714317322,2.4853515625,0.16929933428764343,0.0,0.0003519066085573286,0.0,0.0,0.0,0.0,0.0,0.3243110775947571,0.018281854689121246,2.7180822144146077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33798766136169434,0.29612886905670166,2.9156087239583335,0.25705520311991376,0.019965427617232006,-0.10674935579299927
1,0.9311906210000416,100.07296,1.597557544708252,0.1117008775472641,0.6175037622451782,2.4853515625,0.15485481917858124,0.0,0.0007644059951417148,0.0,0.0,0.0,0.0,0.0,0.04445822536945343,0.06531600654125214,8.100442209979519e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371739387512207,0.2927865982055664,3.86376953125,0.25617295503616333,0.021265511711438496,-0.07311540842056274
2,0.9339383269998507,100.07296,1.337368369102478,0.14797060191631317,0.59087735414505,2.4853515625,0.12776795029640198,0.0,0.0008715856820344925,0.0,0.0,0.0,0.0,0.0,0.04756900295615196,0.23335371911525726,0.000185729208169505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33592422803243,0.2924312949180603,3.8966064453125,0.25480790932973224,0.021296764413515728,-0.029061324894428253
3,0.9391023130001486,100.07296,0.9339525103569031,0.21239662170410156,0.5048303008079529,2.4853515625,0.08588486909866333,0.0,0.0009692401508800685,0.0,0.0,0.0,0.0,0.0,0.04999518394470215,0.6062413454055786,0.00036028545582666993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364444176355998,0.2963346242904663,3.8773600260416665,0.25526096423467,0.021223577360312145,-0.029294587671756744
4,0.9387317829996391,100.07296,0.5195683836936951,0.3015170693397522,0.32121363282203674,2.4853515625,0.0421464741230011,0.0,0.0011314009316265583,0.0,0.0,0.0,0.0,0.0,0.040024563670158386,1.2892509698867798,0.000613184180110693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33725059032440186,0.3017619550228119,3.8639729817708335,0.2560644745826721,0.021145140131314594,-0.03405731916427612
5,0.9401907850001407,100.07296,0.24524906277656555,0.40793222188949585,0.11347358673810959,2.4853515625,0.011271588504314423,0.0,0.0012285512639209628,0.0,0.0,0.0,0.0,0.0,0.02573251537978649,2.3633952140808105,0.0009126499644480646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371947606404622,0.2981967031955719,3.8573811848958335,0.255989929040273,0.02101220687230428,-0.043830275535583496
6,0.9410125340000377,100.07296,0.2088271677494049,0.5136095285415649,0.19084157049655914,2.4853515625,0.0032523225527256727,0.0,0.0011760917259380221,0.0,0.0,0.0,0.0,0.0,0.031655121594667435,3.799190044403076,0.0011814158642664552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3354538679122925,0.2923021614551544,3.8480224609375,0.25428203741709393,0.020875801642735798,-0.05424177646636963
7,0.9399478069999532,100.07296,0.33494603633880615,0.5913442373275757,0.37875789403915405,2.4853515625,0.011247895658016205,0.0,0.0011438331566751003,0.0,0.0,0.0,0.0,0.0,0.07199448347091675,4.923102855682373,0.0013185550924390554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33109037081400555,0.28324562311172485,3.7434895833333335,0.24987125396728516,0.020719895760218304,-0.06378275156021118
8,1.0197082579998096,100.07296,0.42844271659851074,0.6183944940567017,0.4456062316894531,2.4853515625,0.016749344766139984,0.0,0.0015337126096710563,0.0,0.0,0.0,0.0,0.0,0.16472187638282776,5.34018611907959,0.0012825907906517386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322787344455719,0.26128044724464417,3.284912109375,0.2415371537208557,0.020565927028656006,-0.06908166408538818
9,1.0358314550003342,100.07296,0.4900495409965515,0.6295679807662964,0.4518175721168518,2.4853515625,0.019457358866930008,0.0,0.0033367015421390533,0.0,0.0,0.0,0.0,0.0,0.4700210988521576,5.210961818695068,0.0011708710808306932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112979332605998,0.24994409084320068,3.2111002604166665,0.2300800879796346,0.020497533182303112,-0.07302957773208618
10,0.9390188040001703,100.07296,0.5771684050559998,0.6496995687484741,0.5315048694610596,2.4853515625,0.024944409728050232,0.0,0.009079847484827042,0.0,0.0,0.0,0.0,0.0,1.085882544517517,4.7116193771362305,0.0011201073648408055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29893894990285236,0.2427743822336197,3.20458984375,0.2177774707476298,0.020406465977430344,-0.07411545515060425
11,0.9524169790001906,100.07296,0.685215175151825,0.6684873104095459,0.5756358504295349,2.4853515625,0.03309818357229233,0.0,0.022728905081748962,0.0,0.0,0.0,0.0,0.0,1.9623761177062988,3.986976146697998,0.0012199000921100378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2860161264737447,0.22825083136558533,3.2096761067708335,0.20491158962249756,0.020512407024701435,-0.07410603761672974
12,0.9315281489998597,100.07296,0.8234556913375854,0.6703165769577026,0.5468870997428894,2.4853515625,0.044067662209272385,0.0,0.050625286996364594,0.0,0.0,0.0,0.0,0.0,3.517073154449463,3.1409640312194824,0.0015663180965930223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2722001075744629,0.21401503682136536,3.19091796875,0.19103169441223145,0.02068399389584859,-0.07361042499542236
13,0.8986540490000152,100.07296,1.0642954111099243,0.6557077169418335,0.44065549969673157,2.4853515625,0.06368100643157959,0.0,0.10406693816184998,1.3296685974495404e-09,0.0001220703125,0.0,0.0,0.0,6.272481441497803,2.2518410682678223,0.0022786417976021767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25758427381515503,0.20146436989307404,2.2211100260416665,0.17648526032765707,0.020690444856882095,-0.07077658176422119
