iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,1.9946871600000122,109.331968,1.708713173866272,0.09594361484050751,0.3197798430919647,2.4853515625,0.16634607315063477,0.0,0.0003315914364065975,0.0,0.0,2.14757164940238e-06,4.318259016145021e-06,0.0019356798147782683,0.27885502576828003,0.0036912155337631702,2.713077628868632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378715515136719,0.2961282432079315,2.9428304036458335,0.25694018602371216,0.019971154630184174,-0.10675173997879028
1,0.9353707909999684,114.454016,1.6528286933898926,0.10422827303409576,0.3105924427509308,2.4853515625,0.16057820618152618,0.0,0.0006933686090633273,0.0,0.0,2.2951705886953278e-06,3.758902948902687e-06,0.0016141002997756004,0.030675096437335014,0.013036775402724743,7.921355427242815e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33680975437164307,0.2928403317928314,3.858642578125,0.2558104197184245,0.021272686620553333,-0.07244998216629028
2,0.9358999849998781,114.454016,1.6205252408981323,0.10861019790172577,0.34445276856422424,2.4853515625,0.15675011277198792,0.0,0.0008560855640098453,0.0,0.0,2.3290585886570625e-06,4.979278855898883e-06,0.0014766256790608168,0.01882975548505783,0.05156257748603821,0.0001691051002126187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33518552780151367,0.2916353642940521,3.8797200520833335,0.2540932099024455,0.0213189497590065,-0.029009319841861725
3,0.9408814620001067,114.454016,1.5155342817306519,0.12209711223840714,0.3804242014884949,2.4853515625,0.1456070840358734,0.0,0.0009526267531327903,0.0,0.0,2.3538118512078654e-06,7.492129952879623e-06,0.0018032355001196265,0.016045521944761276,0.12860456109046936,0.00028807029593735933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33521854877471924,0.2951605021953583,3.86669921875,0.2540261149406433,0.021266818046569824,-0.02909734845161438
4,0.9530345990001479,114.454016,1.313840627670288,0.15006378293037415,0.39935624599456787,2.4853515625,0.12463437020778656,0.0,0.0010026771342381835,0.0,0.0,2.3328507268161047e-06,1.1017032193194609e-05,0.00228846725076437,0.013535181991755962,0.2678649425506592,0.00041387759847566485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356448809305827,0.2976306974887848,3.8658854166666665,0.2544638713200887,0.021220373610655468,-0.03060734272003174
5,0.9431937300000754,114.454016,1.0475144386291504,0.1919189840555191,0.3909161388874054,2.4853515625,0.09680425375699997,0.0,0.0010255950037389994,0.0,0.0,2.4497999220329802e-06,1.5403089491883293e-05,0.0027821369003504515,0.012520574033260345,0.511926531791687,0.0005181941669434309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33578868707021076,0.30163851380348206,3.8706868489583335,0.2546068032582601,0.021168542404969532,-0.03850048780441284
6,0.9444534480001039,114.454016,0.7537712454795837,0.24767731130123138,0.3429240584373474,2.4853515625,0.06579548865556717,0.0,0.0010401118779554963,0.0,0.0,2.5512504180369433e-06,2.073669747915119e-05,0.0032940837554633617,0.01261058822274208,0.9214074015617371,0.000585962668992579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355581760406494,0.2991712689399719,3.8736572265625,0.2543323834737142,0.0210835263133049,-0.04714304208755493
7,0.9450114400001439,114.454016,0.48624393343925476,0.31614670157432556,0.24522267282009125,2.4853515625,0.036505188792943954,0.0,0.0010422940831631422,0.0,0.0,2.5963197458622744e-06,2.7224912628298625e-05,0.0038164942525327206,0.010785501450300217,1.5764808654785156,0.0006209507118910551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33473487695058185,0.29608362913131714,3.8680826822916665,0.2535715699195862,0.020985494057337444,-0.0562518835067749
8,0.933483649999971,114.454016,0.3015056550502777,0.3927334249019623,0.10868966579437256,2.4853515625,0.01460736058652401,0.0,0.0010454105213284492,0.0,0.0,2.653573346833582e-06,3.484744229353964e-05,0.004359587095677853,0.010805537924170494,2.5895304679870605,0.0006303511327132583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33317164580027264,0.2918162941932678,3.8507893880208335,0.252005934715271,0.020876802504062653,-0.0651940107345581
9,0.9380866869998954,114.454016,0.24306359887123108,0.46820250153541565,0.07544601708650589,2.4853515625,0.004190885461866856,0.0,0.0010984602849930525,0.0,0.0,2.906921281464747e-06,4.369626913103275e-05,0.004921091720461845,0.015339046716690063,4.028622627258301,0.0006192442961037159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302273154258728,0.2855693995952606,3.8162841796875,0.2490436633427938,0.020766941209634144,-0.0734143853187561
10,0.9481925019999835,114.454016,0.2969672679901123,0.5257899761199951,0.19820961356163025,2.4853515625,0.003813853021711111,0.0,0.0012933006510138512,0.0,0.0,3.245120751671493e-06,5.3326435590861365e-05,0.005461535882204771,0.03229812532663345,5.7564191818237305,0.0005939240800216794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32510338226954144,0.2713608145713806,3.6478678385416665,0.24386638402938843,0.020619623363018036,-0.07723337411880493
11,0.9470930909999424,114.454016,0.38400235772132874,0.5588635206222534,0.2690105140209198,2.4853515625,0.006523097865283489,0.0,0.001828460837714374,0.0,0.0,3.6154876852378948e-06,6.239425420062616e-05,0.005912847816944122,0.08514170348644257,7.357028007507324,0.0005654109991155565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170010447502136,0.2505391240119934,3.2998860677083335,0.2357425093650818,0.020521756261587143,-0.07728862762451172
12,0.9499804489998951,114.454016,0.48506179451942444,0.589268684387207,0.32273069024086,2.4853515625,0.011183107271790504,0.0,0.0034050862304866314,0.0,0.0,3.984852355642943e-06,6.993720307946205e-05,0.00625425111502409,0.2946377694606781,8.461268424987793,0.0005438042571768165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30626386404037476,0.22430938482284546,3.2200520833333335,0.22507490714391074,0.020456214745839436,-0.07735151052474976
13,0.9560216350000701,114.454016,0.6256467700004578,0.6292374134063721,0.39376285672187805,2.4853515625,0.020641107112169266,0.0,0.007954653352499008,0.0,0.0,4.511055067268899e-06,7.530466245952994e-05,0.006484925746917725,0.7711290717124939,8.869325637817383,0.0005324186058714986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29407695929209393,0.20309533178806305,3.1862386067708335,0.21299360195795694,0.020337212830781937,-0.07741570472717285
14,0.9586746089998996,114.454016,0.8485583662986755,0.6689835786819458,0.4737195074558258,2.4853515625,0.03882243484258652,0.0,0.01846073567867279,0.0,0.0,5.099094778415747e-06,7.835120777599514e-05,0.0066038258373737335,1.4355192184448242,8.597246170043945,0.0005373102612793446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2803865273793538,0.20091085135936737,3.1392822265625,0.19931761423746744,0.020307297507921856,-0.07741057872772217
