iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,0.7875271359998806,35.91424,1.8040562868118286,0.08844630420207977,0.32798370718955994,2.5,0.17625018954277039,0.0,0.0007469087140634656,0.0,0.0,2.730890173552325e-06,4.560694833344314e-06,0.001992812380194664,0.3100685477256775,0.0035747787915170193,1.1281028491794132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33778512477874756,0.32957208156585693,2.953125,0.26247262954711914,0.021250908573468525,0.006062306463718414
1,0.4264683579999655,37.105152,1.7563942670822144,0.0966121256351471,0.3159245550632477,2.5,0.17125019431114197,0.0,0.0013782214373350143,0.0,0.0,2.780619979603216e-06,3.726016075233929e-06,0.001657135784626007,0.026176823303103447,0.014559084549546242,2.2516960598295555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33742213249206543,0.32756859064102173,3.9010416666666665,0.26117217540740967,0.02246520419915517,0.017546623945236206
2,0.43046306300016113,37.105152,1.70368230342865,0.10219677537679672,0.37632811069488525,2.5,0.16472482681274414,0.0,0.001757253659889102,0.0,0.0,4.483637894736603e-06,4.636931862478377e-06,0.0014795362949371338,0.014438338577747345,0.05481718108057976,2.5137413103948347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33569979667663574,0.32723748683929443,3.9583333333333335,0.2594497998555501,0.022441382209459942,0.01741793006658554
3,0.44182428600015555,37.105152,1.567969560623169,0.11732284724712372,0.3970520496368408,2.5,0.15028417110443115,0.0,0.002043411834165454,0.0,0.0,4.826279564440483e-06,6.742880032106768e-06,0.0017102956771850586,0.010839912109076977,0.134460911154747,2.780490103759803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33566490809122723,0.32728689908981323,3.9296875,0.2594148914019267,0.02240426590045293,0.017313681542873383
4,0.45008251299987023,37.105152,1.341303825378418,0.14642809331417084,0.42398619651794434,2.5,0.12720900774002075,0.0,0.0021958721335977316,0.0,0.0,5.440733730210923e-06,9.86199938779464e-06,0.0021333040203899145,0.006646201014518738,0.2801331877708435,3.964094867114909e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361380894978841,0.32785940170288086,3.9401041666666665,0.25988807280858356,0.022330336272716522,0.01721833646297455
5,0.43881735800005117,37.105152,1.0606616735458374,0.18905740976333618,0.4008578360080719,2.5,0.09828786551952362,0.0,0.0021773267071694136,0.0,0.0,6.800335086154519e-06,1.3914474038756453e-05,0.0025811975356191397,0.004491700790822506,0.525787353515625,5.5139440519269556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3363384008407593,0.3288572430610657,3.9583333333333335,0.26008838415145874,0.022251024842262268,0.01716967672109604
6,0.42908303000012893,37.105152,0.764359176158905,0.2429998368024826,0.35266903042793274,2.5,0.06802519410848618,0.0,0.0020613805390894413,0.0,0.0,7.154612831072882e-06,1.9305078239995055e-05,0.0030742809176445007,0.005044323392212391,0.9110776782035828,6.359155668178573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361833492914836,0.3302190899848938,3.9479166666666665,0.2599333922068278,0.022189468145370483,0.017144687473773956
7,0.42772644199999377,37.105152,0.508386492729187,0.3090053200721741,0.2601468563079834,2.5,0.03943406045436859,0.0,0.0019021211192011833,0.0,0.0,7.5221141742076725e-06,2.6271311071468517e-05,0.0036145912017673254,0.006657354533672333,1.5089491605758667,5.751828939537518e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33559878667195636,0.33183836936950684,3.9479166666666665,0.2593487501144409,0.02210407207409541,0.017102845013141632
8,0.43066440099983083,37.105152,0.33025071024894714,0.3818635642528534,0.1431499868631363,2.5,0.017601817846298218,0.0,0.0017394110327586532,0.0,0.0,7.5930720413452946e-06,3.478053986327723e-05,0.004185555037111044,0.009739338420331478,2.436156988143921,4.162385448580608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33425891399383545,0.3309623897075653,3.9296875,0.2580089171727498,0.022001008192698162,0.01705733686685562
9,0.42307450100020105,37.105152,0.269229918718338,0.4562947750091553,0.07282397150993347,2.5,0.006001503672450781,0.0,0.001657520653679967,0.0,0.0,7.301411642401945e-06,4.49735889560543e-05,0.00479913130402565,0.014127476140856743,3.749619245529175,2.780485010589473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33159420887629193,0.3266559839248657,3.8776041666666665,0.2552920977274577,0.021871278683344524,0.016989998519420624
