iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,0.7929805010001019,35.86304,4.533725738525391,0.08864418417215347,0.8451678156852722,2.5,0.17612746357917786,0.0,0.0007466604001820087,0.0,0.0,2.730890173552325e-06,4.559376520774094e-06,0.0019924109801650047,0.30898281931877136,0.0035747112706303596,1.1230820746277459e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3377806345621745,0.32957208156585693,2.9036458333333335,0.2624680797259013,0.021251072486241657,0.006062306463718414
1,0.4272741079998923,37.053952,4.414231777191162,0.09226398169994354,0.8478787541389465,2.5,0.17485007643699646,0.0,0.0013849673559889197,0.0,0.0,2.6222649012197508e-06,3.7080859328852966e-05,0.005883011966943741,0.02772781252861023,0.009827358648180962,2.2504469598061405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33739741643269855,0.3275279998779297,3.9244791666666665,0.261147419611613,0.022466843326886494,0.017545290291309357
2,0.425474093000048,37.053952,6.0449113845825195,0.0892789363861084,1.1403568983078003,2.5,0.1755063384771347,0.0,0.0017902747495099902,0.0,0.0,4.23475921706995e-06,0.00010878032480832189,0.009932374581694603,0.014156920835375786,0.03295931965112686,2.6632977096596733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33562008539835614,0.32704228162765503,3.9270833333333335,0.2593700885772705,0.022444888949394226,0.017428457736968994
3,0.42637742000010803,37.053952,6.205102920532227,0.09415864944458008,1.4661474227905273,2.5,0.1691836416721344,0.0,0.0021035117097198963,0.0,0.0,4.4503594835987315e-06,0.00022232989431358874,0.014229647815227509,0.011473285965621471,0.08145822584629059,3.2277464924845845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355376323064168,0.32704389095306396,3.90625,0.25928763548533124,0.022416579226652782,0.017328321933746338
4,0.4303738040000553,37.053952,6.454861640930176,0.1076011210680008,1.5342257022857666,2.5,0.15707892179489136,0.0,0.0022734571248292923,0.0,0.0,4.818250999960583e-06,0.0003901282325387001,0.01893569529056549,0.008018405176699162,0.17135068774223328,5.020796015742235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33606648445129395,0.32733750343322754,3.9010416666666665,0.2598165074984233,0.022360036770502727,0.01725393533706665
5,0.4252355180001359,37.053952,7.284527778625488,0.13396960496902466,1.520386815071106,2.5,0.13669344782829285,0.0,0.002280148444697261,0.0,0.0,5.84592771701864e-06,0.0006389663903973997,0.024298017844557762,0.006680091843008995,0.32412272691726685,7.87150056567043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364494244257609,0.3280513286590576,3.9166666666666665,0.260199507077535,0.022296138107776642,0.017208613455295563
6,0.43254337999997006,37.053952,7.067761421203613,0.17424514889717102,1.6620900630950928,2.5,0.10893701761960983,0.0,0.0021745124831795692,0.0,0.0,5.903041710553225e-06,0.0009837609250098467,0.030048420652747154,0.008404696360230446,0.5803970694541931,0.00010995802585966885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3366078535715739,0.32929956912994385,3.9270833333333335,0.2603577971458435,0.022246393064657848,0.017198897898197174
7,0.43619495600000846,37.053952,6.757991790771484,0.22782555222511292,1.7046083211898804,2.5,0.07706776261329651,0.0,0.002022194443270564,0.0,0.0,5.889974090678152e-06,0.0014513591304421425,0.0362415686249733,0.009874187409877777,0.9850993156433105,0.00013400445459410548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33661985397338867,0.3309723138809204,3.9635416666666665,0.26036983728408813,0.022192103167374928,0.017183683812618256
8,0.4273056929998802,37.053952,6.065455913543701,0.2907101511955261,1.7125741243362427,2.5,0.047114335000514984,0.0,0.0018782212864607573,0.0,0.0,5.4666124924551696e-06,0.002057685051113367,0.04272357374429703,0.008177470415830612,1.6034868955612183,0.0001441662898287177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33628809452056885,0.3326917290687561,3.9505208333333335,0.2600380778312683,0.022110725442568462,0.017154887318611145
9,0.42805181500011713,37.053952,4.981750965118408,0.36190545558929443,2.1111631393432617,2.5,0.022581513971090317,0.0,0.0017640746664255857,0.0,0.0,4.585753686114913e-06,0.002795893233269453,0.04922429844737053,0.007155408151447773,2.50134015083313,0.00014299699978437275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33519379297892254,0.33182546496391296,3.9088541666666665,0.2589437961578369,0.022015911837418873,0.017098747193813324
