iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,foot_res_x_abs_mean,foot_res_y_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.8870876080000016,114.533376,1.757068395614624,0.09101887792348862,0.7804034948348999,2.4853515625,0.17096678912639618,0.0,0.0005969025660306215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1856892704963684,0.01821182295680046,5.383075767895207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33754976590474445,0.29280123114585876,3.3720296223958335,0.2565816243489583,0.020662118991216023,-0.10675591230392456
1,1.8348393660000966,115.161088,1.7346266508102417,0.09492059051990509,0.7682858109474182,2.4853515625,0.16785745322704315,0.0,0.0011059476528316736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033349476754665375,0.06796658039093018,0.00025147467385977507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33545251687367755,0.2924584150314331,3.8669026692708335,0.25429322322209674,0.021309740841388702,-0.02893734723329544
2,1.8418333309998616,115.357696,1.4416170120239258,0.1325409710407257,0.7342191934585571,2.4853515625,0.13738679885864258,0.0,0.0012856291141360998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023404046893119812,0.26736247539520264,0.0006037743296474218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3362607955932617,0.2982877492904663,3.8600260416666665,0.2550018827120463,0.021221975485483806,-0.0340425968170166
3,1.8586344029999964,116.537344,0.997846782207489,0.20201154053211212,0.6382431983947754,2.4853515625,0.09112697839736938,0.0,0.0014328723773360252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015160627663135529,0.6595631837844849,0.0009348279563710093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358445962270101,0.2997276186943054,3.85943603515625,0.2545746962229411,0.02108710507551829,-0.050318002700805664
4,1.8074729570000727,116.537344,0.6484236717224121,0.2767115831375122,0.5027762651443481,2.4853515625,0.05315160006284714,0.0,0.0014901267131790519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01587272249162197,1.3013765811920166,0.0010630546603351831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3338509798049927,0.2956220209598541,3.8270060221354165,0.2526461680730184,0.02090713381767273,-0.06872725486755371
5,1.806781262999948,116.537344,0.4675064980983734,0.3379285931587219,0.37605369091033936,2.4853515625,0.03005719557404518,0.0,0.0017504192655906081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022473394870758057,2.3481075763702393,0.0009817273821681738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292036255200704,0.27933192253112793,3.6680501302083335,0.2480000058809916,0.020729432503382366,-0.07705187797546387
6,1.8216130099999646,116.537344,0.42749708890914917,0.375844806432724,0.29411542415618896,2.4853515625,0.01914287731051445,0.0,0.0025435560382902622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044093355536460876,3.986703872680664,0.0008298970642499626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32078389326731366,0.2446163296699524,3.39935302734375,0.23950926462809244,0.020586856951316197,-0.07707363367080688
7,1.8463955209999767,116.537344,0.420528769493103,0.4246169328689575,0.17677657306194305,2.4853515625,0.009887617081403732,0.0,0.004998468793928623,6.989760947817558e-08,0.00042724609375,0.0,0.0,0.0,0.0,0.0,0.13436400890350342,6.346979141235352,0.0007694297819398344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089216947555542,0.2277640998363495,3.2375081380208335,0.2276902198791504,0.020462284485499065,-0.07714617252349854
8,1.8282593120000001,116.537344,0.48222535848617554,0.5089559555053711,0.21803982555866241,2.4853515625,0.005937702022492886,0.0,0.012913025915622711,1.7414434978491045e-06,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.43501895666122437,9.23005485534668,0.0008754655718803406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29280203580856323,0.20657628774642944,3.1670735677083335,0.21168390909830728,0.02035366619626681,-0.07725584506988525
9,1.8182949980000558,116.537344,0.8363038301467896,0.6051842570304871,0.3734336495399475,2.4853515625,0.0300457626581192,0.0,0.03717290982604027,3.0998653528513387e-06,0.0024210612755268812,0.0,0.0,0.0,0.0,0.0,1.417165756225586,11.581137657165527,0.0011906633153557777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2673340638478597,0.1923273801803589,3.0832926432291665,0.1861321727434794,0.020513384292523067,-0.07739794254302979
10,1.8163130460000048,116.537344,2.037172794342041,0.5256868600845337,0.2586010992527008,2.4853515625,0.13712766766548157,0.0,0.10821224749088287,1.941533264471218e-05,0.00543212890625,0.0,0.0,0.0,0.0,0.0,3.250267744064331,12.40135383605957,0.001965732779353857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23167749245961508,0.182156041264534,2.4032999674479165,0.15042437116305032,0.020554102957248688,-0.07756930589675903
11,1.892783272000088,116.537344,4.871542930603027,-0.09929819405078888,0.9119690656661987,2.4833984375,0.42227858304977417,0.0,0.18155384063720703,8.256481669377536e-05,0.02130126953125,0.0,0.0,0.0,0.0,0.0,1.2479941844940186,11.592554092407227,0.0064233094453811646,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.23297061522801718,0.15921235084533691,1.9127400716145833,0.15090576807657877,0.020411014556884766,-0.07773220539093018
