condition,n_seeds,n_runs,smooth slope (mean),rough slope (mean),stairs down (mean),stairs up (mean),discrete obstacles (mean),smooth slope (max),rough slope (max),stairs down (max),stairs up (max),discrete obstacles (max)
blind,3,3,0.17475728155339806,0.0,0.009285051067780874,0.0,0.004901960784313725,2,0,3,0,1
foothold residual unsupervised,1,1,0.038834951456310676,0.00980392156862745,0.2479108635097493,0.01171875,0.04411764705882353,1,1,4,2,3
foothold residual x,1,1,0.009708737864077669,0.0,0.22284122562674094,0.0,0.0196078431372549,1,0,4,0,1
foothold residual x+y,1,1,0.0,0.0,0.16991643454038996,0.01171875,0.014705882352941176,0,0,4,3,2
height map (obs),1,1,0.11650485436893204,0.0,0.022284122562674095,0.0,0.00980392156862745,1,0,3,0,1
random commands,1,1,0.038834951456310676,0.0,0.0,0.0,0.0,1,0,0,0,0
swing target off,1,1,0.11650485436893204,0.0,0.0,0.0,0.024509803921568627,1,0,0,0,1
swing target z,1,1,0.2912621359223301,0.0,0.008356545961002786,0.0,0.03431372549019608,1,0,2,0,1
swing target z+apex,1,1,0.14563106796116504,0.0,0.008356545961002786,0.0,0.024509803921568627,2,0,3,0,1
tilt w=16,1,1,0.23300970873786409,0.0,0.016713091922005572,0.0,0.04411764705882353,2,0,3,0,1
tilt w=48,1,1,0.13592233009708737,0.0,0.002785515320334262,0.0,0.029411764705882353,2,0,1,0,1
window 48 steps (41 s),1,1,0.32038834951456313,0.0,0.016713091922005572,0.0,0.024509803921568627,1,0,3,0,1
window 48 steps (82 s),1,1,0.1650485436893204,0.0,0.0,0.0,0.00980392156862745,1,0,0,0,1
