iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,3.9527892300000076,281.119232,6.954755783081055,0.09291640669107437,0.12753809988498688,2.47607421875,0.6883134841918945,0.0026106652803719044,0.0,0.0,0.0,0.0,0.0,0.0,0.33785394827524823,0.29590141773223877,2.8711751302083335,0.27361102898915607,0.02011392389734586,-0.10698968172073364
1,1.7985240989999056,281.682432,6.919125556945801,0.0778779536485672,0.12091120332479477,2.47607421875,0.684942901134491,0.0027500218711793423,0.0,0.0,0.0,0.0,0.0,0.0,0.33636967341105145,0.29445505142211914,3.8026936848958335,0.2720737059911092,0.02142542103926341,-0.09697896242141724
2,1.7839679010000964,282.20672,6.82530403137207,0.02133793756365776,0.0768163874745369,2.47607421875,0.6752943396568298,0.0029030796140432358,0.0,0.0,0.0,0.0,0.0,0.0,0.33391785621643066,0.2945868670940399,3.799072265625,0.2696195642153422,0.021479735771814983,-0.09697872400283813
3,1.77946560700002,283.755008,6.794902324676514,-0.05220520496368408,0.10871396958827972,2.47607421875,0.6722208857536316,0.0029196550603955984,0.0,0.0,0.0,0.0,0.0,0.0,0.3330208857854207,0.2765781879425049,3.7169596354166665,0.26868385076522827,0.021486110985279083,-0.09697777032852173
4,1.7828349260000778,283.755008,6.8371500968933105,-0.11664758622646332,0.15765929222106934,2.47607421875,0.6764254570007324,0.0028941845521330833,1.0,0.0,0.0,1.0,0.0,1.0,0.3327929973602295,0.2877834141254425,3.7940266927083335,0.2684253454208374,0.021533528963724773,-0.0969509482383728
5,1.7851103210000474,283.755008,6.884657859802246,-0.1553589105606079,0.2418021559715271,2.47607421875,0.6811423301696777,0.0028763681184500456,0.0,0.0,0.0,0.0,0.0,0.0,0.33251967032750446,0.29771366715431213,3.842041015625,0.26813743511835736,0.02156355728705724,-0.09692269563674927
6,1.792331542999932,283.755008,6.846444606781006,-0.15591050684452057,0.22844652831554413,2.47607421875,0.6771747469902039,0.0028991426806896925,0.0,0.0,0.0,0.0,0.0,0.0,0.3320779999097188,0.29633769392967224,3.8769938151041665,0.2677188316980998,0.021632271508375805,-0.03250682353973389
7,1.7937513319999425,283.755008,6.727777004241943,-0.12017495930194855,0.18034368753433228,2.47607421875,0.6650925278663635,0.0029496471397578716,0.0,0.0,0.0,0.0,0.0,0.0,0.3316925565401713,0.2959630787372589,3.8855387369791665,0.26732232173283893,0.0216656227906545,-0.09680479764938354
8,1.7968410140000515,283.75552,6.600265979766846,-0.05626334995031357,0.13597172498703003,2.47607421875,0.6519942283630371,0.002994520589709282,0.0,0.0,0.0,0.0,0.0,0.0,0.33155351877212524,0.2959883511066437,3.876953125,0.26718082030614215,0.02167888730764389,-0.09679538011550903
9,1.8078699190000407,283.75552,6.5581560134887695,0.028246775269508362,0.14694780111312866,2.47607421875,0.647502064704895,0.0029949357267469168,0.0,0.0,0.0,0.0,0.0,0.0,0.3318120241165161,0.2965429723262787,3.8716023763020835,0.26743459701538086,0.021693406005700428,-0.09682828187942505
10,1.8059561500000427,283.75552,6.6521315574646,0.11163143068552017,0.23128169775009155,2.47607421875,0.656588077545166,0.0029506112914532423,0.0,0.0,0.0,0.0,0.0,0.0,0.3323530952135722,0.29113006591796875,3.8821004231770835,0.26798033714294434,0.021604247391223907,-0.09688454866409302
11,1.799468821000005,283.75552,6.803663730621338,0.17846643924713135,0.3405399024486542,2.47607421875,0.6714881658554077,0.0029022558592259884,0.0,0.0,0.0,0.0,0.0,0.0,0.33290090163548786,0.28366613388061523,3.8865966796875,0.2685464421908061,0.021528832614421844,-0.09966433048248291
12,1.806787045999954,283.75552,6.890096187591553,0.21057553589344025,0.38211899995803833,2.47607421875,0.6798444986343384,0.002889610594138503,0.0,0.0,0.0,0.0,0.0,0.0,0.3332093159357707,0.28025877475738525,3.8750813802083335,0.268863320350647,0.021461283167203266,-0.11539113521575928
13,1.804569120999986,283.75552,6.837037086486816,0.20409461855888367,0.3772839903831482,2.47607421875,0.6743202209472656,0.002926840912550688,0.0,0.0,0.0,0.0,0.0,0.0,0.3331509828567505,0.27801454067230225,3.8312581380208335,0.26881225903828937,0.02130318929751714,-0.11655068397521973
14,1.8001883170001065,284.066816,6.6391282081604,0.1590351164340973,0.33094751834869385,2.47607421875,0.6542392373085022,0.0029984533321112394,0.0,0.0,0.0,0.0,0.0,0.0,0.3327588637669881,0.27417421340942383,3.6310628255208335,0.2684142589569092,0.02120621254046758,-0.11654746532440186
