iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.799393359999982,117.321216,7.037696361541748,0.022120922803878784,0.05762852355837822,2.47607421875,0.6909623146057129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982858618100484,0.2547060251235962,0.044576009114583336,0.2340991497039795,-0.03307327379782995,-0.16312217712402344
1,1.1473884700000099,117.321216,7.239811420440674,0.07802900671958923,0.06885215640068054,2.4736328125,0.702144980430603,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.24100027481714884,0.18547669053077698,0.08186848958333333,0.17669862508773804,-0.09375450015068054,-0.2327987104654312
2,1.1946810350000021,117.321216,7.150086402893066,0.06787146627902985,0.05476057156920433,1.7041015625,0.6968838572502136,0.0,1922.0,0.0,0.0,1875.0,1920.0,2.0,0.2694253921508789,0.1561565101146698,0.10868326822916667,0.20887056986490884,-0.06080300112565359,-0.26678115129470825
3,1.1782257409999772,117.321216,6.693927764892578,-0.0025724763981997967,0.04796987771987915,1.7041015625,0.6624366044998169,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.3355570634206136,0.1594131588935852,0.09116617838541667,0.2785750826199849,0.011340434352556864,-0.2434101104736328
4,1.2217773559999898,117.692416,6.7580132484436035,0.019873186945915222,0.04934973642230034,1.70361328125,0.6652941703796387,0.0,3.0,0.0,0.0,3.0,2.0,1.0,0.30332982540130615,0.1586337387561798,0.08626302083333333,0.24629960457483926,-0.021629172066847484,-0.24633480608463287
5,1.2189905280000062,118.275072,6.901580810546875,0.05345980077981949,0.06495517492294312,1.70166015625,0.6728730201721191,0.0,7.0,0.0,0.0,7.0,6.0,1.0,0.2500406304995219,0.1573583483695984,0.10074869791666667,0.19296262661616007,-0.07548252244790395,-0.18214452266693115
6,1.2449236399999961,118.275072,7.003772258758545,0.04266062378883362,0.023006251081824303,1.10791015625,0.6822072863578796,0.0,1886.0,0.0,0.0,1812.0,1886.0,0.0,0.25324684381484985,0.15646228194236755,0.13531494140625,0.19822070995966592,-0.07152021924654643,-0.2368347942829132
7,1.2382636499999933,118.275072,6.864654064178467,-0.015020052902400494,0.06083977222442627,1.10595703125,0.6783992052078247,0.0,8.0,0.0,0.0,8.0,6.0,2.0,0.33728984991709393,0.15908807516098022,0.13490804036458334,0.2855406006177266,0.013567390541235605,-0.21223260462284088
8,1.2603531899999894,118.275072,6.94957160949707,0.035834748297929764,0.051759909838438034,1.10546875,0.6842135190963745,0.0,7.0,0.0,0.0,7.0,6.0,1.0,0.3085939884185791,0.15751966834068298,0.13576253255208334,0.25683557987213135,-0.016971261550982792,-0.2289218306541443
9,1.2845918830000187,118.275072,7.16168737411499,0.09519490599632263,0.0788385197520256,1.1044921875,0.6994373202323914,0.0,8.0,0.0,0.0,8.0,7.0,1.0,0.25905994574228924,0.15762588381767273,0.14078776041666666,0.20722492535909018,-0.06762565672397614,-0.23637229204177856
