iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.7947143020000453,117.321216,7.079982280731201,0.022837141528725624,0.05859443545341492,2.47607421875,0.6950565576553345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29826176166534424,0.2528650760650635,0.043701171875,0.23407099644343057,-0.0330238863825798,-0.16006827354431152
1,1.1899471639999888,120.111616,7.312743663787842,0.07614931464195251,0.09105011075735092,2.47607421875,0.7090053558349609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24068476756413779,0.1677878499031067,0.081787109375,0.17650010188420615,-0.09392376740773518,-0.23018059134483337
2,1.184401503999993,120.111616,8.072373390197754,0.15836943686008453,0.1338304579257965,2.47607421875,0.7704521417617798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16219923893610635,0.059014201164245605,0.1219482421875,0.09801151355107625,-0.1745856205622355,-0.32798612117767334
3,1.1746274629999789,120.111616,9.564640998840332,0.27432212233543396,0.16581487655639648,2.47607421875,0.8997606635093689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06368004779020946,-0.07174068689346313,0.16678873697916666,-0.0005332130628327528,-0.27529776096343994,-0.4455317258834839
4,1.184079334000046,120.111616,11.982209205627441,0.42645353078842163,0.2609556317329407,2.47607421875,1.1153450012207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054378400246302284,-0.2227933406829834,0.18129475911458334,-0.11860611041386922,-0.39559006690979004,-0.5607585310935974
5,1.1957516800000008,120.111616,15.824152946472168,0.6118095517158508,0.4879719913005829,2.47607421875,1.4661242961883545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19224131107330322,-0.3928625285625458,0.18216959635416666,-0.25645806392033893,-0.5358314116795858,-0.7204182744026184
6,1.2184699580000142,120.308224,21.40818977355957,0.8172787427902222,0.9345455169677734,2.47607421875,1.983433723449707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3500933249791463,-0.5814410448074341,0.1854248046875,-0.41429416338602704,-0.6957692305246989,-0.9077256321907043
7,1.226457473000039,120.308224,28.824100494384766,1.0291461944580078,1.7533783912658691,2.47607421875,2.6735637187957764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5282525221506754,-0.7890559434890747,0.19590250651041666,-0.5924554268519083,-0.875255823135376,-1.1153656244277954
8,1.2478614430000334,121.225728,37.98251724243164,1.2450296878814697,2.938117027282715,2.47607421875,3.5244078636169434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.726809581120809,-1.0169987678527832,0.20461018880208334,-0.7910386721293131,-1.07376233736674,-1.3519872426986694
9,1.2237287400000127,121.225728,48.858089447021484,1.463794231414795,4.327835559844971,2.47607421875,4.5318379402160645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.945580005645752,-1.2669683694839478,0.20511881510416666,-1.0098493099212646,-1.2913602987925212,-1.6077481508255005
10,1.1938676899999905,121.225728,61.44384765625,1.6901657581329346,5.993248462677002,2.47607421875,5.693404674530029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1845589478810628,-1.5410267114639282,0.20829264322916666,-1.248815377553304,-1.5283093452453613,-1.9037892818450928
