iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,3.467102421999982,117.321216,6.934757232666016,0.09164661169052124,0.17752808332443237,2.47607421875,0.6870807409286499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33805076281229657,0.2967381477355957,2.912109375,0.2738077640533447,0.020080743978420895,-0.10698968172073364
1,1.1630844739999873,120.111616,6.864612102508545,0.06881695985794067,0.15634645521640778,2.47607421875,0.6804847717285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337127685546875,0.2958377003669739,3.7202962239583335,0.2728201150894165,0.021395541727542877,-0.096981942653656
2,1.1526180850000003,120.111616,6.755722999572754,-0.007549723610281944,0.11407505720853806,2.47607421875,0.669428825378418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348391056060791,0.2958652377128601,3.668212890625,0.27054768800735474,0.02145751565694809,-0.09697967767715454
3,1.1576495930000021,120.111616,6.75642728805542,-0.09219784289598465,0.2337038516998291,2.47607421875,0.6693929433822632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33375346660614014,0.2779722511768341,3.6494954427083335,0.26942533254623413,0.021505954364935558,-0.09696978330612183
4,1.1582803820000152,120.111616,6.828685283660889,-0.15527582168579102,0.26848071813583374,2.47607421875,0.6764962077140808,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.33330607414245605,0.2886192500591278,3.7978515625,0.2689179579416911,0.02157838890949885,-0.09693747758865356
5,1.1537797869999906,120.112128,6.829013347625732,-0.1719897985458374,0.3745216727256775,2.47607421875,0.6763860583305359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33294232686360675,0.2965034544467926,3.8626302083333335,0.2685612440109253,0.021616622805595398,-0.0968824028968811
6,1.1614276379999922,120.308736,6.677962779998779,-0.1402633786201477,0.3001815378665924,2.47607421875,0.6610199809074402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326004346211751,0.2956395447254181,3.8728230794270835,0.26821144421895343,0.021648940940697987,-0.09683471918106079
7,1.1609535059999985,120.308736,6.487003803253174,-0.06563499569892883,0.2610195279121399,2.47607421875,0.6416125297546387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324735959370931,0.2956337034702301,3.8553263346354165,0.26806215445200604,0.02168167382478714,-0.096804678440094
8,1.1624280989999818,121.22624,6.4214887619018555,0.036675795912742615,0.23199748992919922,2.47607421875,0.6346603035926819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33296507596969604,0.2963036596775055,3.82373046875,0.2685354948043823,0.02170781542857488,-0.09683972597122192
9,1.1676916300000073,121.22624,6.6024370193481445,0.141109436750412,0.41696298122406006,2.47607421875,0.6524741649627686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3340862989425659,0.29562103748321533,3.8169962565104165,0.26968860626220703,0.02164435138305028,-0.09690243005752563
10,1.1692470230000254,121.22624,6.912871360778809,0.22250324487686157,0.5888965129852295,2.47607421875,0.6832687258720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33544174830118817,0.28979969024658203,3.8649088541666665,0.2710510889689128,0.02159045139948527,-0.09698349237442017
11,1.166635455000005,121.22624,7.107388019561768,0.2651652991771698,0.668766975402832,2.47607421875,0.7025505900382996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33640368779500324,0.2834724187850952,3.8669026692708335,0.2720182736714681,0.021440657476584118,-0.09706956148147583
12,1.156495819000014,121.22624,7.020914554595947,0.2570839524269104,0.6348442435264587,2.47607421875,0.6936906576156616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3365532159805298,0.2805163860321045,3.7319539388020835,0.2721717556317647,0.021281113227208454,-0.10817646980285645
13,1.1553528009999923,121.22624,6.686384201049805,0.201276034116745,0.5041041970252991,2.47607421875,0.6600544452667236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33599114418029785,0.2790489196777344,3.4427083333333335,0.27163628737131756,0.021262407302856445,-0.11658680438995361
14,1.1596045690000096,121.22624,6.263418674468994,0.11690955609083176,0.3600562810897827,2.47607421875,0.6175439953804016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33564503987630206,0.27635908126831055,3.2649739583333335,0.27126550674438477,0.02130541702111562,-0.11653685569763184
