iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,3.691091548000003,117.321216,6.931368350982666,0.08682611584663391,0.16290797293186188,2.47607421875,0.6860706806182861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33340052763621014,0.2712596654891968,2.5866292317708335,0.26915756861368817,0.013667372365792593,-0.10698968172073364
1,1.1748422410000217,120.111616,6.905517101287842,0.07811164855957031,0.14642120897769928,2.47607421875,0.6827483177185059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3258579770723979,0.20039498805999756,3.283447265625,0.2615493933359782,0.007505677019556363,-0.14151346683502197
2,1.1586199179999994,120.111616,6.8018646240234375,0.006406811065971851,0.06961069256067276,2.3896484375,0.6726106405258179,0.0,228.0,0.0,0.0,222.0,228.0,0.0,0.32671356201171875,0.15647351741790771,3.2209269205729165,0.2580847144126892,0.011223421742518743,-0.18838202953338623
3,1.1539776350000182,120.111616,6.741683006286621,-0.08780919015407562,0.21746455132961273,2.3896484375,0.6679725646972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33385618527730304,0.27798140048980713,3.1679280598958335,0.2608471115430196,0.02052965263525645,-0.09696632623672485
4,1.1410465669999894,120.111616,6.853724956512451,-0.1463717222213745,0.25681090354919434,2.3896484375,0.6785785555839539,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.32936278978983563,0.2789754569530487,3.3371378580729165,0.2562908132870992,0.016694412877162296,-0.09692913293838501
5,1.135605494999993,120.112128,6.890130043029785,-0.16396057605743408,0.36456212401390076,2.3896484375,0.6811739802360535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32241586844126385,0.2110111564397812,3.41644287109375,0.24933127562204996,0.01046810174981753,-0.1130950078368187
6,1.1617233260000148,120.345088,6.802210330963135,-0.14058001339435577,0.2656988799571991,2.31103515625,0.6719727516174316,0.0,228.0,0.0,0.0,219.0,228.0,0.0,0.32187797625859577,0.1570560485124588,3.42547607421875,0.24583762884140015,0.010640519360701243,-0.1658068150281906
7,1.1580633640000144,120.345088,6.63437032699585,-0.07767569273710251,0.2603320777416229,2.31103515625,0.656434953212738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33211026589075726,0.2937731444835663,3.4127197265625,0.2511516014734904,0.02117822567621867,-0.0967901349067688
8,1.1487448819999884,121.227776,6.548837661743164,0.014825483784079552,0.21784694492816925,2.31103515625,0.6470987796783447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289209206899007,0.2856329679489136,3.3816324869791665,0.2479716936747233,0.017648406326770782,-0.09682637453079224
9,1.1490496199999995,121.227776,6.692337989807129,0.10888201743364334,0.35306286811828613,2.31103515625,0.6603126525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239712317784627,0.2203887701034546,3.3599039713541665,0.2429994543393453,0.011306305726369223,-0.10965976864099503
