iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down
0,13.470524893999936,279.940096,7.076138973236084,0.02233721688389778,0.0344676747918129,2.47509765625,0.6930011510848999,0.006149648688733578,2.0,0.0,0.0,2.0
1,6.394210194000152,279.940096,7.331960201263428,0.07822743058204651,0.05837711691856384,2.47265625,0.7071039080619812,0.013923002406954765,6.0,0.0,0.0,6.0
2,6.4219426039999234,279.940096,7.1757283210754395,0.06875424832105637,0.04640548676252365,1.7041015625,0.6955215334892273,0.012654638849198818,1921.0,0.0,0.0,1874.0
3,6.855912903999979,282.321408,6.698740005493164,-0.0012870935024693608,0.03306436166167259,1.703125,0.6619913578033447,0.0026894179172813892,3.0,0.0,0.0,2.0
4,6.861026137999943,282.321408,6.753026962280273,0.01566995121538639,0.030129488557577133,1.70263671875,0.6630080342292786,0.005046441685408354,3.0,0.0,0.0,3.0
5,6.567422338000142,282.321408,6.878215789794922,0.04426196217536926,0.03996510058641434,1.701171875,0.6670632362365723,0.011043315753340721,7.0,0.0,0.0,7.0
6,6.802308545999949,282.321408,6.965823173522949,0.03721829876303673,0.01799718476831913,1.1044921875,0.6744663715362549,0.013049734756350517,1886.0,0.0,0.0,1811.0
7,6.972027339000078,282.321408,6.8276591300964355,-0.013035464100539684,0.058662667870521545,1.10400390625,0.6740623712539673,0.0021697822958230972,7.0,0.0,0.0,7.0
8,6.744529136999972,282.321408,6.921478271484375,0.033046167343854904,0.04253821447491646,1.103515625,0.6801317930221558,0.003936883993446827,4.0,0.0,0.0,3.0
9,6.461147569000104,282.321408,7.156711101531982,0.08886566758155823,0.06169600784778595,1.10205078125,0.6959061026573181,0.00904915388673544,9.0,0.0,0.0,9.0
10,6.403444562000004,282.321408,7.25219202041626,0.08126808702945709,0.056377772241830826,0.6484375,0.7005931735038757,0.013821861706674099,1848.0,0.0,0.0,1788.0
11,6.802554610000016,282.321408,6.901298522949219,-0.023991815745830536,0.08850905299186707,0.64599609375,0.6810011863708496,0.0020507427398115396,9.0,0.0,0.0,9.0
12,6.688661467999964,282.321408,6.988081932067871,0.029773134738206863,0.06673426926136017,0.64404296875,0.6866011619567871,0.0036789518781006336,4.0,0.0,0.0,4.0
13,6.525864161000072,282.321408,7.222177505493164,0.09907848387956619,0.060014449059963226,0.642578125,0.7033912539482117,0.008330278098583221,11.0,0.0,0.0,10.0
14,6.403155936999838,282.321408,7.399108409881592,0.10745679587125778,0.06402070075273514,0.3388671875,0.7129311561584473,0.015534849837422371,1805.0,0.0,0.0,1750.0
15,6.7117250129999775,282.321408,6.888500213623047,-0.015776338055729866,0.08130649477243423,0.33642578125,0.6803009510040283,0.0023200304713100195,17.0,0.0,0.0,17.0
16,6.706949051000038,282.321408,6.99647855758667,0.024403948336839676,0.0748886838555336,0.33544921875,0.6886453628540039,0.003775640157982707,5.0,0.0,0.0,5.0
17,6.684696957999904,282.321408,7.272607326507568,0.08026755601167679,0.0979636088013649,0.333984375,0.7099844813346863,0.008162629790604115,11.0,0.0,0.0,11.0
18,5.946429372000011,282.321408,7.586628437042236,0.09835600852966309,0.08588209003210068,0.17041015625,0.7299988269805908,0.017740026116371155,1767.0,0.0,0.0,1719.0
19,1.8333336390001023,282.321408,6.907403945922852,0.009249020367860794,0.08832345902919769,0.16845703125,0.6827371120452881,0.002584615256637335,19.0,0.0,0.0,19.0
20,1.8427818249999746,282.321408,6.987174034118652,0.02368299663066864,0.11069069802761078,0.16748046875,0.6881856918334961,0.003846529871225357,8.0,0.0,0.0,8.0
21,1.8383326629998464,282.321408,7.39954137802124,0.0507047176361084,0.08703451603651047,0.1669921875,0.7234219312667847,0.007615323178470135,14.0,0.0,0.0,13.0
22,1.802788438999869,282.321408,7.903756618499756,0.06976321339607239,0.1123284250497818,0.166015625,0.7623939514160156,0.016445159912109375,21.0,0.0,0.0,20.0
23,1.875508643999865,282.321408,6.892388343811035,0.0207571629434824,0.12139812111854553,0.14404296875,0.6772589087486267,0.004891928751021624,1754.0,0.0,0.0,1682.0
24,1.879359870999906,282.321408,6.8939528465271,0.009850038215517998,0.08657211810350418,0.1416015625,0.6774663925170898,0.0036243493668735027,11.0,0.0,0.0,10.0
25,1.8815665280001213,282.321408,7.591496467590332,0.018050141632556915,0.21493609249591827,0.14013671875,0.7405452728271484,0.006636717356741428,15.0,0.0,0.0,14.0
26,1.840833438000118,282.321408,8.49884033203125,0.050846949219703674,0.16579319536685944,0.14013671875,0.8198314905166626,0.014014780521392822,8.0,0.0,0.0,8.0
27,1.8940354080000361,282.321408,7.246309757232666,0.026262791827321053,0.47848543524742126,0.1376953125,0.7046077251434326,0.006874721497297287,1759.0,0.0,0.0,1693.0
28,1.8583800409999185,282.321408,7.020410060882568,0.010212679393589497,0.5900647044181824,0.13720703125,0.6806057691574097,0.00291174347512424,7.0,0.0,0.0,7.0
29,1.8270335759998488,282.321408,8.011602401733398,-0.04726780578494072,0.15592677891254425,0.1357421875,0.7724308967590332,0.005018098745495081,12.0,0.0,0.0,12.0
