iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down
0,10.477929999000025,180.027392,7.061680316925049,0.021341871470212936,0.021519966423511505,2.47412109375,0.6914938688278198,0.0062489621341228485,4.0,0.0,0.0,4.0
1,4.168191267999873,182.799872,7.275797367095947,0.07286562770605087,0.03586678206920624,2.47216796875,0.7014398574829102,0.014145276509225368,5.0,0.0,0.0,5.0
2,4.265452200000027,182.799872,7.2462286949157715,0.06425470113754272,0.0356803722679615,1.7041015625,0.7021953463554382,0.012969385832548141,1920.0,0.0,0.0,1873.0
3,4.28700655800003,185.255424,6.905102252960205,0.0003556623705662787,0.03064827248454094,1.70361328125,0.6824309229850769,0.0029241801239550114,2.0,0.0,0.0,1.0
4,4.34214698400001,185.255424,6.977401256561279,0.008061106316745281,0.027314994484186172,1.703125,0.6853041052818298,0.005489358212798834,3.0,0.0,0.0,3.0
5,4.2934514930000205,185.255424,7.085055828094482,0.023482324555516243,0.030594760552048683,1.70166015625,0.6874191761016846,0.01177604403346777,6.0,0.0,0.0,6.0
6,4.327011299000105,185.255424,7.063967227935791,0.020454324781894684,0.021995948627591133,1.1025390625,0.6843553781509399,0.013749666512012482,1890.0,0.0,0.0,1831.0
7,4.31698537300008,185.255424,6.83590841293335,-0.010514302179217339,0.04578758403658867,1.10205078125,0.6758464574813843,0.002496403409168124,3.0,0.0,0.0,2.0
8,4.344537539000157,185.255424,6.928615570068359,0.018867511302232742,0.02925385721027851,1.1015625,0.6815430521965027,0.004432341083884239,6.0,0.0,0.0,6.0
9,4.391770300000189,185.255424,7.0647478103637695,0.059281423687934875,0.02553100883960724,1.099609375,0.6873189806938171,0.009715978987514973,10.0,0.0,0.0,9.0
10,4.41613095799994,185.255424,7.140506744384766,0.06057434156537056,0.018880408257246017,0.64599609375,0.6899237632751465,0.014306344091892242,1851.0,0.0,0.0,1804.0
11,4.350948546999916,185.255424,6.859057426452637,-0.015181118622422218,0.0835324227809906,0.64404296875,0.6783347129821777,0.002303671557456255,7.0,0.0,0.0,6.0
12,4.404479652999953,185.255424,6.985684871673584,0.021623089909553528,0.04137585312128067,0.64208984375,0.6877435445785522,0.003965569660067558,8.0,0.0,0.0,8.0
13,4.411081914999841,185.255424,7.233169078826904,0.07145228236913681,0.055880170315504074,0.640625,0.7053039073944092,0.008504018187522888,11.0,0.0,0.0,11.0
14,4.453652603000137,185.255424,7.442188262939453,0.08524525165557861,0.06082366779446602,0.3359375,0.7178411483764648,0.015210703015327454,1807.0,0.0,0.0,1754.0
15,4.483866670999987,185.255424,6.9628005027771,-0.011204039677977562,0.06548672914505005,0.33203125,0.6887863874435425,0.0023083011619746685,16.0,0.0,0.0,16.0
16,4.438623706000044,185.255424,7.02608585357666,0.017144450917840004,0.0765133872628212,0.33203125,0.6921919584274292,0.003705346491187811,3.0,0.0,0.0,3.0
17,4.439321249999921,185.255424,7.282191276550293,0.06303083896636963,0.04397140070796013,0.33056640625,0.711120069026947,0.007671136409044266,11.0,0.0,0.0,11.0
18,4.507917993000092,185.255424,7.62758207321167,0.09835129976272583,0.07525951415300369,0.171875,0.7342199683189392,0.01621306501328945,1779.0,0.0,0.0,1716.0
19,4.562510122999811,185.255424,6.78933048248291,0.0006700287340208888,0.04598790779709816,0.16796875,0.6713091731071472,0.0025200245436280966,23.0,0.0,0.0,23.0
20,4.559953969999924,185.255424,6.871424674987793,0.011135462671518326,0.13462375104427338,0.16748046875,0.6770243644714355,0.003726705675944686,4.0,0.0,0.0,4.0
21,4.613053425000089,185.255424,7.224414348602295,0.03759816661477089,0.06334903091192245,0.1669921875,0.7062434554100037,0.007314065005630255,12.0,0.0,0.0,12.0
22,4.6039830120000715,185.255424,7.661154270172119,0.07002526521682739,0.05591442063450813,0.166015625,0.7388758659362793,0.015820026397705078,24.0,0.0,0.0,23.0
23,4.60622134800019,185.255424,6.7394843101501465,0.02287152037024498,0.34137097001075745,0.142578125,0.6621970534324646,0.004803209565579891,1755.0,0.0,0.0,1698.0
24,4.5418247610000435,185.255424,6.755884647369385,0.01165418978780508,0.1961546540260315,0.14208984375,0.6638957858085632,0.0036365813575685024,6.0,0.0,0.0,5.0
25,4.52342468300003,185.255424,7.389547348022461,0.0037179787177592516,0.11778270453214645,0.14208984375,0.7209973335266113,0.006800993345677853,9.0,0.0,0.0,9.0
26,4.545441349999919,185.255424,8.296744346618652,0.031360357999801636,0.23372255265712738,0.14208984375,0.8002840876579285,0.014020847156643867,6.0,0.0,0.0,6.0
27,4.580358187000002,185.255424,7.243998050689697,0.01636136695742607,0.03797811642289162,0.1396484375,0.7083756327629089,0.006954865530133247,1770.0,0.0,0.0,1725.0
28,4.588585042999966,185.255424,6.972764015197754,0.007719969376921654,0.0923534408211708,0.1396484375,0.6829221248626709,0.0031371922232210636,6.0,0.0,0.0,6.0
29,4.625452388999975,185.255424,8.07629108428955,0.028616197407245636,0.09889650344848633,0.13916015625,0.7835747599601746,0.005310095380991697,10.0,0.0,0.0,10.0
