iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down
0,10.38355662999993,177.253888,7.063760757446289,0.022512655705213547,0.02377498894929886,2.4755859375,0.6933245062828064,0.0,1.0,0.0,0.0,1.0
1,4.104877729000009,177.253888,7.269407272338867,0.07367125153541565,0.02865869551897049,2.4716796875,0.7049592733383179,0.0,9.0,0.0,0.0,9.0
2,4.25573531200007,177.253888,7.141316890716553,0.06433823704719543,0.02597144991159439,1.7041015625,0.6957442760467529,0.0,1919.0,0.0,0.0,1872.0
3,4.196668328999976,181.134336,6.693990230560303,0.0002016265643760562,0.02650115080177784,1.70361328125,0.6621959805488586,0.0,2.0,0.0,0.0,1.0
4,4.275138544000129,181.134336,6.727572917938232,0.00785275362432003,0.023805279284715652,1.70361328125,0.6620296835899353,0.0,2.0,0.0,0.0,2.0
5,4.356908383000018,181.134336,6.826357841491699,0.021468471735715866,0.02056512050330639,1.70068359375,0.6651990413665771,0.0,10.0,0.0,0.0,10.0
6,4.452158231999874,181.134336,6.915421962738037,0.018917258828878403,0.017594654113054276,1.10595703125,0.6735943555831909,0.0,1889.0,0.0,0.0,1821.0
7,4.442781202000106,181.134336,7.0154128074646,-0.007895883172750473,0.03549176827073097,1.10498046875,0.6943601369857788,0.0,5.0,0.0,0.0,5.0
8,4.4850334029999885,181.134336,6.971375465393066,0.014556962996721268,0.024051429703831673,1.10498046875,0.6872719526290894,0.0,7.0,0.0,0.0,7.0
9,4.539830589000076,181.134336,7.080881118774414,0.04626035690307617,0.02300913818180561,1.10302734375,0.6919528841972351,0.0,9.0,0.0,0.0,9.0
10,4.54641397599994,181.134336,7.150061130523682,0.04554280638694763,0.020930267870426178,0.65087890625,0.695408821105957,0.0,1849.0,0.0,0.0,1792.0
11,4.521372668999902,181.134336,6.9706339836120605,-0.009807359427213669,0.028794236481189728,0.64892578125,0.6899492144584656,0.0,9.0,0.0,0.0,9.0
12,4.51492301799999,181.134336,6.94806432723999,0.014077452942728996,0.04178571701049805,0.6474609375,0.6851967573165894,0.0,7.0,0.0,0.0,7.0
13,4.525242237000157,181.134336,7.105123519897461,0.04750636965036392,0.03260229900479317,0.64306640625,0.6951664686203003,0.0,18.0,0.0,0.0,17.0
14,4.553913130999945,181.134336,7.165342330932617,0.05693089962005615,0.0483577698469162,0.34423828125,0.6950508952140808,0.0,1793.0,0.0,0.0,1727.0
15,4.53835799799981,181.134336,6.679199695587158,-0.005616446025669575,0.03476264700293541,0.3408203125,0.6610012650489807,0.0,17.0,0.0,0.0,17.0
16,4.531243282000105,181.134336,6.788311958312988,0.012381956912577152,0.07184909284114838,0.34033203125,0.6694228053092957,0.0,5.0,0.0,0.0,5.0
17,4.54529556500006,181.134336,7.013508319854736,0.04678066074848175,0.0684485137462616,0.3388671875,0.6867960691452026,0.0,12.0,0.0,0.0,12.0
18,4.560340802999917,181.134336,7.3660078048706055,0.07520700246095657,0.04373128339648247,0.1748046875,0.7133724093437195,0.0,1767.0,0.0,0.0,1714.0
19,4.544389155999852,181.134336,6.797409534454346,-0.0007650642655789852,0.04048709571361542,0.171875,0.6724389791488647,0.0,25.0,0.0,0.0,25.0
20,4.527115100999936,181.134336,6.904883861541748,0.008329769596457481,0.12884466350078583,0.17138671875,0.6808769106864929,0.0,5.0,0.0,0.0,5.0
21,4.525369698999839,181.134336,7.36250114440918,0.02824726700782776,0.06221528351306915,0.17041015625,0.7215613126754761,0.0,17.0,0.0,0.0,16.0
22,4.5734960659999615,181.134336,7.9305419921875,0.04974588751792908,0.08958464115858078,0.16943359375,0.769614577293396,0.0,22.0,0.0,0.0,21.0
23,4.565604588000042,181.134336,6.856894016265869,0.01732616499066353,0.2212430089712143,0.14404296875,0.6748126745223999,0.0,1751.0,0.0,0.0,1694.0
24,4.516131458000018,181.134336,6.889474391937256,0.009552664123475552,0.21100158989429474,0.14404296875,0.6768864393234253,0.0,2.0,0.0,0.0,2.0
25,4.577461606000043,181.134336,7.747882843017578,0.009079087525606155,0.17087405920028687,0.142578125,0.7558094263076782,0.0,13.0,0.0,0.0,13.0
26,4.588820814999963,181.134336,8.996392250061035,0.03655495494604111,0.23387028276920319,0.14208984375,0.8699319362640381,0.0,11.0,0.0,0.0,11.0
27,4.664614841999992,181.134336,7.374220848083496,0.019163087010383606,0.08742093294858932,0.13916015625,0.7204915285110474,0.0,1761.0,0.0,0.0,1709.0
28,4.609958060000054,181.134336,7.00788688659668,0.015451399609446526,0.2024897336959839,0.138671875,0.6814535856246948,0.0,7.0,0.0,0.0,6.0
29,4.6201749680001285,181.134336,8.322433471679688,0.010215713642537594,0.13600081205368042,0.13671875,0.8001846075057983,0.0,19.0,0.0,0.0,19.0
