iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h
0,3.6473787109999876,117.100032,7.072322845458984,0.021567024290561676,0.055502090603113174,2.47509765625,0.694355845451355,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.29821709791819256,0.2464536428451538
1,1.1322936090000155,117.100032,7.234710216522217,0.07720562070608139,0.05912045016884804,2.47265625,0.7016211748123169,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.24100222190221152,0.1854764223098755
2,1.223752716000007,117.100032,7.263515472412109,0.0672248899936676,0.06589405238628387,1.7041015625,0.7079422473907471,0.0,1921.0,0.0,0.0,1874.0,1920.0,1.0,0.26928557952245075,0.15615436434745789
3,1.2065495180000028,118.404096,6.907296180725098,-0.0033421425614506006,0.05188688635826111,1.70361328125,0.6835724711418152,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.3354562520980835,0.15900814533233643
4,1.2129208210000115,118.404096,6.996512413024902,0.019256599247455597,0.05352553725242615,1.70361328125,0.6889375448226929,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.30311723550160724,0.15884295105934143
5,1.3033340140000007,118.404096,7.161204814910889,0.05483958125114441,0.04669782146811485,1.70068359375,0.6985664367675781,0.0,9.0,0.0,0.0,9.0,7.0,2.0,0.24982680877049765,0.15735208988189697
6,1.29401260100002,118.404096,7.207087993621826,0.045001331716775894,0.02381362020969391,1.099609375,0.702635645866394,0.0,1888.0,0.0,0.0,1829.0,1887.0,1.0,0.25301553805669147,0.1570523977279663
7,1.2453687180000088,118.404096,6.967716217041016,-0.01577013172209263,0.10325677692890167,1.09912109375,0.6888224482536316,0.0,7.0,0.0,0.0,7.0,5.0,2.0,0.3370242913564046,0.15429899096488953
8,1.25587999199999,118.404096,7.029816627502441,0.037864938378334045,0.06641612946987152,1.09912109375,0.692274272441864,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.3078860839207967,0.15769442915916443
9,1.2759819249999964,118.404096,7.197431564331055,0.09642522782087326,0.061141256242990494,1.09765625,0.7031916379928589,0.0,12.0,0.0,0.0,11.0,12.0,0.0,0.25808050235112506,0.156849205493927
10,1.2633937300000184,118.404096,7.237790584564209,0.08137034624814987,0.03839200735092163,0.64501953125,0.7038493156433105,0.0,1860.0,0.0,0.0,1802.0,1856.0,4.0,0.2385347088177999,0.14603830873966217
11,1.2575955560000125,118.404096,6.943520545959473,-0.01077780406922102,0.1014433205127716,0.64404296875,0.6874312162399292,0.0,7.0,0.0,0.0,6.0,5.0,2.0,0.3384856383005778,0.15748387575149536
12,1.2223981460000175,118.404096,7.043266773223877,0.025739258155226707,0.11305570602416992,0.6435546875,0.6948481798171997,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.31250305970509845,0.15851213037967682
13,1.2364195789999997,118.404096,7.251542568206787,0.06169693171977997,0.0742781013250351,0.64208984375,0.7098416090011597,0.0,11.0,0.0,0.0,11.0,10.0,1.0,0.26650331417719525,0.15741044282913208
14,1.2316787959999829,118.404096,7.410538673400879,0.05732043832540512,0.10749033838510513,0.34375,0.719258725643158,0.0,1795.0,0.0,0.0,1734.0,1795.0,0.0,0.2261247237523397,0.1566867083311081
