iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h
0,3.8717342959999996,281.084416,7.0600104331970215,0.02210843563079834,0.03834952041506767,2.47607421875,0.6913919448852539,0.006153162103146315,0.0,0.0,0.0,0.0,0.0,0.0,0.2982405424118042,0.25414830446243286
1,1.6610727359999942,281.084416,7.295761585235596,0.07741203904151917,0.0549057237803936,2.4736328125,0.7035086154937744,0.013985579833388329,6.0,0.0,0.0,6.0,0.0,6.0,0.24094690879185995,0.18542274832725525
2,1.7636537810000164,281.084416,7.189247131347656,0.0686156302690506,0.04615701735019684,1.70458984375,0.6968511343002319,0.012735223397612572,1922.0,0.0,0.0,1875.0,1919.0,3.0,0.269355833530426,0.15329062938690186
3,1.8626665440000352,282.04032,6.683798313140869,-0.00041498374775983393,0.03318030387163162,1.70361328125,0.6603410243988037,0.0027310438454151154,3.0,0.0,0.0,2.0,2.0,1.0,0.3354070583979289,0.1594237983226776
4,1.8503953590000037,282.251776,6.738343715667725,0.015269956551492214,0.03387882187962532,1.70361328125,0.6617127656936646,0.005105502903461456,2.0,0.0,0.0,2.0,1.0,1.0,0.3030258019765218,0.1584295928478241
5,1.8259522089999791,282.251776,6.909002304077148,0.0408819280564785,0.03921903669834137,1.70166015625,0.6702043414115906,0.011156128719449043,7.0,0.0,0.0,7.0,6.0,1.0,0.24972081184387207,0.15730726718902588
6,1.806718515,282.251776,6.976387023925781,0.03508339077234268,0.01812865026295185,1.103515625,0.6756007075309753,0.013176116161048412,1889.0,0.0,0.0,1813.0,1889.0,0.0,0.25298551718393963,0.15634095668792725
7,1.8584840880000115,282.251776,6.886481285095215,-0.012924292124807835,0.05352015048265457,1.1025390625,0.6803125143051147,0.0022061271592974663,7.0,0.0,0.0,7.0,6.0,1.0,0.33710189660390216,0.1553908735513687
8,1.8081497840000225,282.251776,6.976101875305176,0.030324451625347137,0.0334906280040741,1.10205078125,0.6856832504272461,0.004017617553472519,5.0,0.0,0.0,5.0,2.0,3.0,0.30805375178654987,0.15749700367450714
9,1.7572079299999928,282.251776,7.160444736480713,0.08563216030597687,0.07523202896118164,1.10107421875,0.6963070631027222,0.00926092080771923,6.0,0.0,0.0,6.0,6.0,0.0,0.25823787848154706,0.15751934051513672
10,1.765938291999987,282.251776,7.275345325469971,0.07989996671676636,0.0637756735086441,0.65625,0.7026548385620117,0.014087509363889694,1852.0,0.0,0.0,1793.0,1850.0,2.0,0.23824584484100342,0.15705180168151855
11,1.8318256730000257,282.251776,6.969358921051025,-0.021446578204631805,0.09252946078777313,0.654296875,0.6875824928283691,0.002126104664057493,8.0,0.0,0.0,8.0,6.0,2.0,0.3378440539042155,0.15704500675201416
12,1.8774430220000227,282.251776,6.989645004272461,0.03453737497329712,0.053580064326524734,0.6513671875,0.6869363784790039,0.003650022204965353,10.0,0.0,0.0,10.0,7.0,3.0,0.31246066093444824,0.15784013271331787
13,1.8355111779999902,282.251776,7.254188537597656,0.1051723062992096,0.05063791573047638,0.64990234375,0.7068800926208496,0.008171346969902515,11.0,0.0,0.0,10.0,8.0,3.0,0.2666391134262085,0.15705889463424683
14,1.8181546289999915,282.251776,7.441770553588867,0.11460378766059875,0.0888214185833931,0.34814453125,0.7173959016799927,0.015379322692751884,1804.0,0.0,0.0,1753.0,1804.0,0.0,0.22588698069254556,0.15705180168151855
15,1.875587567000025,282.251776,6.825031280517578,-0.015832174569368362,0.09423539787530899,0.34521484375,0.6742591261863708,0.002338930033147335,14.0,0.0,0.0,14.0,13.0,1.0,0.3388470411300659,0.15262813866138458
16,1.8545831110000108,282.251776,6.894543647766113,0.026102203875780106,0.06540951132774353,0.34375,0.6785799264907837,0.0038522814866155386,8.0,0.0,0.0,8.0,8.0,0.0,0.31636953353881836,0.156688392162323
17,1.8288185349999821,282.251776,7.166219234466553,0.08706483244895935,0.07098522037267685,0.34228515625,0.6995711326599121,0.008191119879484177,9.0,0.0,0.0,9.0,7.0,2.0,0.2740444342295329,0.15782874822616577
18,1.7986573360000193,282.251776,7.416481018066406,0.10951332002878189,0.096482053399086,0.18115234375,0.7132668495178223,0.017682965844869614,1769.0,0.0,0.0,1715.0,1769.0,0.0,0.21511715650558472,0.156996488571167
19,1.8353768540000033,282.251776,6.7211222648620605,0.006097320467233658,0.05810496211051941,0.177734375,0.664178729057312,0.0026651225052773952,21.0,0.0,0.0,20.0,19.0,2.0,0.3402850230534871,0.1567411720752716
20,1.8591445079999858,282.251776,6.849978923797607,0.024367833510041237,0.06060338020324707,0.17724609375,0.6747691035270691,0.003936673514544964,9.0,0.0,0.0,9.0,7.0,2.0,0.3205808202425639,0.15756858885288239
21,1.835472024000012,282.251776,7.219374179840088,0.04983750358223915,0.10408248007297516,0.1767578125,0.705208957195282,0.007814493961632252,11.0,0.0,0.0,11.0,7.0,4.0,0.28118427594502765,0.15714460611343384
22,1.8224657770000476,282.251776,7.654953956604004,0.06053777039051056,0.11351955682039261,0.17529296875,0.7376308441162109,0.016925644129514694,20.0,0.0,0.0,17.0,17.0,3.0,0.22202730178833008,0.15652579069137573
23,1.8721424629999888,282.251776,6.747207164764404,0.021386411041021347,0.05338042229413986,0.1484375,0.6635102033615112,0.005060570314526558,1758.0,0.0,0.0,1712.0,1756.0,2.0,0.3250275254249573,0.15613216161727905
24,1.8917852310000285,282.251776,6.774041652679443,0.016098279505968094,0.12872914969921112,0.14794921875,0.6665734052658081,0.0037752394564449787,6.0,0.0,0.0,6.0,6.0,0.0,0.32481207450230914,0.15645790100097656
25,1.893545233999987,282.251776,7.323773384094238,0.033433448523283005,0.1428002417087555,0.14697265625,0.7151235938072205,0.006962948944419622,12.0,0.0,0.0,12.0,11.0,1.0,0.2877684036890666,0.15617209672927856
