iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h
0,2.8498468689999754,176.1024,7.054239749908447,0.02082888036966324,0.0218366589397192,2.47509765625,0.6925375461578369,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.29822782675425213,0.2397306263446808
1,1.2250897290000466,178.347008,7.256139278411865,0.07240013778209686,0.028428073972463608,2.47265625,0.7034769058227539,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.2410089373588562,0.17835605144500732
2,1.2728941120000172,178.347008,7.085750102996826,0.06444542109966278,0.021786676719784737,1.7041015625,0.6900211572647095,0.0,1921.0,0.0,0.0,1874.0,1918.0,3.0,0.2694943348566691,0.15625345706939697
3,1.2551067239999725,178.75968,6.621033668518066,-0.00038553972262889147,0.01986820623278618,1.70361328125,0.6547588109970093,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.33560673395792645,0.15989555418491364
4,1.2696825279999757,178.84416,6.671926975250244,0.0071295262314379215,0.021221164613962173,1.703125,0.6563140153884888,0.0,3.0,0.0,0.0,3.0,2.0,1.0,0.3032398621241252,0.15932247042655945
5,1.3490324349999696,178.84416,6.707634925842285,0.021738339215517044,0.02089589275419712,1.70068359375,0.6531688570976257,0.0,8.0,0.0,0.0,8.0,7.0,1.0,0.2500278949737549,0.15720966458320618
6,1.3788664490000428,178.84416,6.77232027053833,0.018424663692712784,0.016924206167459488,1.10986328125,0.6593039631843567,0.0,1883.0,0.0,0.0,1807.0,1883.0,0.0,0.2533680001894633,0.1554127335548401
7,1.3402087610000422,178.84416,6.757109642028809,-0.010389072820544243,0.02402375265955925,1.10791015625,0.6688939332962036,0.0,8.0,0.0,0.0,8.0,4.0,4.0,0.3368753989537557,0.1539984494447708
8,1.3334926450000353,178.84416,6.799148082733154,0.014630015939474106,0.02084113471210003,1.10693359375,0.6699129939079285,0.0,6.0,0.0,0.0,6.0,5.0,1.0,0.3080335060755412,0.15737086534500122
9,1.3465124939999669,178.84416,6.9108099937438965,0.0479273721575737,0.02151370421051979,1.10546875,0.6749226450920105,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.258463720480601,0.15735650062561035
10,1.3779005229999939,178.84416,7.002190113067627,0.04808048903942108,0.023548627272248268,0.65478515625,0.6806426048278809,0.0,1851.0,0.0,0.0,1793.0,1847.0,4.0,0.23904812335968018,0.15637072920799255
11,1.3469425609999917,178.84416,6.776250839233398,-0.014254451729357243,0.056845661252737045,0.65283203125,0.6707310676574707,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.33862046400705975,0.15787677466869354
12,1.3487617680000312,178.84416,6.847164154052734,0.017196539789438248,0.02111310139298439,0.64990234375,0.6752716898918152,0.0,13.0,0.0,0.0,13.0,10.0,3.0,0.3127313454945882,0.15740780532360077
13,1.3898812379999868,178.84416,7.030004501342773,0.05985680967569351,0.027547379955649376,0.6474609375,0.687901496887207,0.0,14.0,0.0,0.0,14.0,12.0,2.0,0.267014741897583,0.15744423866271973
