iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,2.963440482999431,159.115776,7.153148174285889,0.01456308551132679,0.027121931314468384,1.568359375,0.6904802322387695,0.008125833235681057,17312.0,0.0
1,1.2643578219976916,161.381888,7.304305553436279,0.04806515574455261,0.032256390899419785,1.56005859375,0.698651909828186,0.013860225677490234,17227.0,0.0
2,1.2797804709989578,161.381888,7.659074306488037,0.07909801602363586,0.03951013833284378,1.38427734375,0.7245405912399292,0.019622527062892914,17688.0,0.0
3,1.2636180800000147,161.381888,8.049478530883789,0.10695120692253113,0.0403224341571331,1.34765625,0.7622264623641968,0.025713171809911728,17286.0,0.0
4,1.2752935560019978,161.381888,8.866904258728027,0.15863505005836487,0.05570288002490997,1.29931640625,0.8325478434562683,0.03819362074136734,17310.0,0.0
5,1.2782419239993033,161.381888,9.943196296691895,0.20725026726722717,0.06109233200550079,1.28271484375,0.9269787073135376,0.05310738831758499,17332.0,0.0
6,1.2811087910013157,161.381888,10.801107406616211,0.21747274696826935,0.038920387625694275,1.1015625,1.0021884441375732,0.06250134110450745,17775.0,0.0
7,1.2815060860011727,161.381888,11.680244445800781,0.20271798968315125,0.04536612331867218,1.06787109375,1.091705322265625,0.06820791959762573,17310.0,0.0
8,1.2768702510002186,161.381888,11.805110931396484,0.19056838750839233,0.0823785737156868,0.9794921875,1.104551076889038,0.06484070420265198,17404.0,0.0
9,1.30843063300199,161.381888,9.752413749694824,0.13194115459918976,0.09710867702960968,0.923828125,0.9170032739639282,0.0370137020945549,17331.0,0.0
10,1.32332894800129,161.971712,7.875255584716797,0.07655473053455353,0.0951254665851593,0.810546875,0.7390221357345581,0.013811618089675903,17730.0,0.0
11,1.3143606209996506,161.971712,7.648256301879883,0.04406280443072319,0.08490226417779922,0.791015625,0.7265639305114746,0.013658102601766586,17289.0,0.0
12,1.3177352950006025,161.971712,7.666970252990723,0.07733942568302155,0.05615219846367836,0.78857421875,0.7251647710800171,0.021162670105695724,17240.0,0.0
13,1.3359161610023875,161.971712,7.720789909362793,0.09948661923408508,0.03419364616274834,0.78369140625,0.7255904078483582,0.029581531882286072,17304.0,0.0
14,1.336373565998656,161.971712,7.647456645965576,0.08174021542072296,0.041026610881090164,0.7099609375,0.7130445241928101,0.03137410432100296,17791.0,0.0
15,1.325770769999508,161.971712,7.315202236175537,0.048894092440605164,0.04393237456679344,0.66162109375,0.6872096061706543,0.03608948737382889,17347.0,0.0
16,1.286348438999994,161.971712,7.276870250701904,0.04784688726067543,0.05094299837946892,0.65185546875,0.6826257705688477,0.041297655552625656,17260.0,0.0
17,1.2771857850020751,161.971712,7.336318492889404,0.051144860684871674,0.0525955855846405,0.6005859375,0.684694766998291,0.04708981513977051,17321.0,0.0
18,1.2714394200011156,161.971712,7.496731281280518,0.05042733624577522,0.05564546212553978,0.52734375,0.687164306640625,0.05510304495692253,17776.0,0.0
19,1.265263473997038,161.971712,7.316094398498535,0.04178385064005852,0.05083586648106575,0.52392578125,0.6850058436393738,0.04524444043636322,17258.0,0.0
20,1.2819574589993863,161.971712,7.335484981536865,0.03986826539039612,0.04313333332538605,0.47021484375,0.6874834299087524,0.036627426743507385,17428.0,0.0
21,1.2843891509983223,161.971712,7.2832207679748535,0.036880940198898315,0.03621720150113106,0.4619140625,0.6904290914535522,0.020729191601276398,17323.0,0.0
22,1.283082468999055,161.971712,7.363316535949707,0.04603300616145134,0.04893054813146591,0.44921875,0.6974930167198181,0.021400153636932373,17281.0,0.0
23,1.2729284080014622,161.971712,7.185932636260986,0.0400015264749527,0.05489283800125122,0.4404296875,0.6826057434082031,0.01868784986436367,17767.0,0.0
24,1.2736496100005752,161.971712,7.236998081207275,0.04818442463874817,0.05014031007885933,0.4375,0.6874102354049683,0.021855320781469345,17265.0,0.0
25,1.2866247210004076,161.971712,7.4220662117004395,0.0632925033569336,0.0398460291326046,0.39453125,0.7012008428573608,0.02895265817642212,17310.0,0.0
26,1.2789233309995325,161.971712,7.634527683258057,0.0710315927863121,0.04019121453166008,0.3857421875,0.719437301158905,0.032788269221782684,17268.0,0.0
27,1.2943371120018128,161.971712,7.7762532234191895,0.06831127405166626,0.06255638599395752,0.3564453125,0.7269935607910156,0.044553935527801514,17757.0,0.0
28,1.3012935429978825,161.971712,7.68056058883667,0.05181078612804413,0.052211593836545944,0.33447265625,0.7237736582756042,0.035898223519325256,17381.0,0.0
29,1.287095136998687,161.971712,7.806819915771484,0.05011199042201042,0.045664504170417786,0.33251953125,0.7359992861747742,0.037415195256471634,17315.0,0.0
