iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,3.52545974100002,117.321216,6.936775207519531,0.09161841869354248,0.17751899361610413,2.47607421875,0.6872825622558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3380504846572876,0.2967381477355957,2.9068603515625,0.2738075653711955,0.020080375174681347,-0.10698968172073364
1,1.1690297259999625,120.111616,6.866283893585205,0.06878028810024261,0.15635110437870026,2.47607421875,0.680651843547821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371264139811198,0.29583680629730225,3.7152303059895835,0.2728193402290344,0.021394963065783184,-0.09698134660720825
2,1.154482139000038,120.111616,6.756502151489258,-0.007567264139652252,0.11400330066680908,2.47607421875,0.6695067286491394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348410924275716,0.2958638370037079,3.6696980794270835,0.270549476146698,0.021458422144254048,-0.09697932004928589
3,1.1595915679999962,120.308224,6.756601333618164,-0.09215763211250305,0.23381100594997406,2.47607421875,0.6694113612174988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337572018305461,0.27797409892082214,3.6429850260416665,0.26942888895670575,0.021508177121480305,-0.09697002172470093
4,1.1733357080000246,120.308224,6.82746696472168,-0.1551952064037323,0.26851189136505127,2.47607421875,0.676375150680542,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3333057165145874,0.2886311709880829,3.7928670247395835,0.26891767978668213,0.02158134678999583,-0.09693747758865356
5,1.1558049279999523,121.22624,6.828205108642578,-0.171963632106781,0.37386906147003174,2.47607421875,0.6763052940368652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329355716705322,0.29648730158805847,3.8599039713541665,0.26855440934499103,0.021626641352971394,-0.09688311815261841
6,1.1637832709999998,121.22624,6.677131652832031,-0.14027635753154755,0.301034152507782,2.47607421875,0.6609355807304382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33259205023447674,0.2956126630306244,3.8722127278645835,0.26819948355356854,0.021664023399353027,-0.0968356728553772
7,1.1640735799999788,121.22624,6.486252784729004,-0.06571941822767258,0.25703394412994385,2.47607421875,0.641537070274353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332468847433726,0.29560789465904236,3.8559163411458335,0.26805110772450763,0.02168974032004674,-0.0968061089515686
8,1.1696738260000075,121.22624,6.4212188720703125,0.036685749888420105,0.22888217866420746,2.47607421875,0.6346322298049927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33295949300130206,0.29627183079719543,3.8209431966145835,0.2685271700223287,0.02171369642019272,-0.09684139490127563
9,1.1742255869999667,121.22624,6.602954864501953,0.14133578538894653,0.41535326838493347,2.47607421875,0.6525205373764038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3340741793314616,0.2957702875137329,3.8219197591145835,0.26967304944992065,0.021659945448239643,-0.09690362215042114
10,1.1740403169999922,121.22624,6.9142961502075195,0.22314003109931946,0.5894566178321838,2.47607421875,0.6834014654159546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335408091545105,0.2898850440979004,3.864501953125,0.27101703484853107,0.021597633759180706,-0.09698444604873657
11,1.1783242500000028,121.22624,7.110412120819092,0.2662751078605652,0.6705690622329712,2.47607421875,0.7028387784957886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33634857336680096,0.28373610973358154,3.8676554361979165,0.2719627420107524,0.021443980435530346,-0.09707027673721313
12,1.1618517250000195,121.22624,7.02514123916626,0.2585514485836029,0.63759845495224,2.47607421875,0.6940962672233582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33647974332173664,0.28067195415496826,3.730712890625,0.2720994750658671,0.021300981442133587,-0.1109781265258789
13,1.161477303999959,121.22624,6.69075345993042,0.2027796506881714,0.5053870677947998,2.47607421875,0.6604723930358887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33589494228363037,0.27912986278533936,3.4371134440104165,0.27154290676116943,0.0212313507994016,-0.11660361289978027
14,1.1687163480000322,121.22624,6.267846584320068,0.1186114028096199,0.3629457950592041,2.47607421875,0.6179643869400024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33551021416982013,0.2763930559158325,3.2621663411458335,0.27113370100657147,0.021306335926055908,-0.11652696132659912
15,1.162021626000012,121.22624,5.9926557540893555,0.024660058319568634,0.25319135189056396,2.4755859375,0.5903325080871582,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3360591729482015,0.2656513452529907,3.2132161458333335,0.2716405391693115,0.021442179878552754,-0.11645305156707764
16,1.1631532629999697,121.22624,5.92420768737793,-0.07648427039384842,0.4732327461242676,2.4755859375,0.5833050608634949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33722515900929767,0.24767696857452393,3.2112630208333335,0.2727259397506714,0.021555739144484203,-0.11638152599334717
17,1.147608703000003,121.22624,6.058130741119385,-0.18791605532169342,0.4362355172634125,2.47509765625,0.5962259769439697,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3380233446756999,0.22441613674163818,3.2777099609375,0.2734819253285726,0.021621411045392353,-0.11639070510864258
18,1.1449287490000302,121.22624,6.450881004333496,-0.293990820646286,0.8597977757453918,2.47509765625,0.6350364685058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33833928902943927,0.2112795114517212,3.5111490885416665,0.2737838427225749,0.021670731405417126,-0.11651027202606201
19,1.1464366459999837,121.22624,6.847139358520508,-0.3603228032588959,0.7424103021621704,2.47509765625,0.6741997599601746,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3390043576558431,0.20837938785552979,3.6737874348958335,0.2742816011110942,0.021769729753335316,-0.11661255359649658
