iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,foot_res_x_abs_mean,foot_res_y_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,3.7822188570000037,117.398528,6.79978609085083,0.10531143844127655,0.26221171021461487,2.533203125,0.6732770800590515,0.0,0.00030074219102971256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5583000183105469,0.03645719587802887,0.00030295056058093905,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.3381638129552205,0.29274624586105347,3.0411783854166665,0.26831352710723877,0.019903242588043213,-0.10141342878341675
1,1.2387862270000198,120.188928,6.763391971588135,0.0917680561542511,0.21864548325538635,2.533203125,0.6702628135681152,0.0,0.0006584484945051372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40546393394470215,0.04067938029766083,0.0019549839198589325,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.3378927707672119,0.2888690233230591,3.7401936848958335,0.2679539918899536,0.02116433282693227,-0.06364113092422485
2,1.2032716669999957,120.188928,6.620626449584961,0.01716521382331848,0.08867765218019485,2.533203125,0.6559908390045166,0.0,0.001254608272574842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4308527410030365,0.1883101910352707,0.005216704681515694,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.33563073476155597,0.2894638180732727,3.523193359375,0.265617032845815,0.021221250295639038,-0.03477293252944946
3,1.2381234329999984,120.188928,6.6034650802612305,-0.07885698229074478,0.16960294544696808,2.533203125,0.6541900634765625,0.0,0.002015050034970045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3805170953273773,0.40085741877555847,0.010059956461191177,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.3338321050008138,0.29338088631629944,3.3100789388020835,0.26379843552907306,0.021300298472245533,-0.03449182212352753
4,1.25547773400001,120.188928,6.771050453186035,-0.17878367006778717,0.3721699118614197,2.533203125,0.6708564758300781,0.0,0.002160917967557907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37785109877586365,0.475025475025177,0.01644301787018776,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.3329451084136963,0.29377052187919617,3.5239664713541665,0.2629185716311137,0.021393845478693645,-0.034003570675849915
5,1.1861899209999933,120.188928,6.9718780517578125,-0.24749240279197693,0.501606285572052,2.533203125,0.6908811330795288,0.0,0.001706154434941709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4401993751525879,0.38324785232543945,0.024336211383342743,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.33272890249888104,0.29220569133758545,3.80535888671875,0.2626971999804179,0.02147272229194641,-0.03340257704257965
6,1.1837498950000054,120.385536,6.987637996673584,-0.2603641748428345,0.5000241994857788,2.533203125,0.6923934817314148,0.0,0.001324286451563239,8.590826894305792e-08,0.00026448568678461015,0.0,0.0,0.0,0.0,0.0,0.488864541053772,0.24338172376155853,0.03373362123966217,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.3324464758237203,0.2907280921936035,3.8539835611979165,0.26243595282236737,0.021545144418875378,-0.03296005725860596
7,1.187170024000011,120.385536,6.788783550262451,-0.21900805830955505,0.35970497131347656,2.533203125,0.6722415685653687,0.0,0.0014589898055419326,2.573998244770337e-06,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.4877327084541321,0.12524054944515228,0.04464998096227646,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.33169804016749066,0.2907553017139435,3.84979248046875,0.261707067489624,0.021643926699956257,-0.04612857103347778
8,1.1880912050000063,121.30304,6.511232852935791,-0.1361003816127777,0.1769307553768158,2.533203125,0.6441368460655212,0.0,0.0021020169369876385,1.1598003766266629e-05,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.4362354278564453,0.06156405434012413,0.05709896981716156,0.500859260559082,0.0,0.0,0.0,0.0,0.0,0.0,0.3307952682177226,0.28648674488067627,3.81146240234375,0.2608112295468648,0.02168405552705129,-0.06157827377319336
9,1.1921960859999956,121.30304,6.356170177459717,-0.022625677287578583,0.07718778401613235,2.53271484375,0.6282114386558533,0.0,0.0026612533256411552,8.913279998523649e-06,0.00022379557776730508,0.0,0.0,0.0,0.0,0.0,0.37819811701774597,0.054344139993190765,0.07107754796743393,0.5007511973381042,1.0,0.0,0.0,1.0,0.0,1.0,0.3303975860277812,0.2812002897262573,3.7657674153645835,0.26045437653859455,0.021694595615069073,-0.06147736310958862
