iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,foot_res_x_abs_mean,foot_res_y_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.9076571719997446,177.599488,6.963989734649658,0.093288853764534,0.11615980416536331,2.5,0.6899382472038269,0.0,0.0003455080441199243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009261012077332,0.0029254730325192213,0.0003110124671366066,0.5031149387359619,0.0,0.0,0.0,0.0,0.0,0.0,0.33800212542215985,0.2965114712715149,2.909423828125,0.26962854464848834,0.020118096222480137,-0.09628826379776001
1,1.2221718529999634,182.487552,6.928867816925049,0.08028490841388702,0.11121347546577454,2.5,0.6866661906242371,0.0,0.0007698838599026203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3858634829521179,0.013324431143701077,0.001974660437554121,0.5031149387359619,0.0,0.0,0.0,0.0,0.0,0.0,0.33697080612182617,0.2895199954509735,3.8161417643229165,0.2685360511144002,0.02134019136428833,-0.04159671068191528
2,1.21024289900015,182.487552,6.817487716674805,0.02760884538292885,0.07591457664966583,2.5,0.6753573417663574,0.0,0.00117115443572402,4.2711128855899005e-08,0.00016276042151730508,0.0,0.0,0.0,0.0,0.0,0.3724115788936615,0.048612289130687714,0.005231047980487347,0.5031149387359619,0.0,0.0,0.0,0.0,0.0,0.0,0.3349812825520833,0.28954848647117615,3.7991739908854165,0.2665409843126933,0.021331196029980976,-0.0415533185005188
3,1.2072824739998396,182.487552,6.75259256362915,-0.044838324189186096,0.06398777663707733,2.5,0.6688970327377319,0.0,0.0015554779674857855,3.4593965665408177e-06,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.36182865500450134,0.11127357184886932,0.010060343891382217,0.5031149387359619,0.0,0.0,0.0,0.0,0.0,0.0,0.3344064950942993,0.2958320379257202,3.6940511067708335,0.2659131685892741,0.021388923128445942,-0.04144787788391113
4,1.2135066630007714,182.487552,6.7791056632995605,-0.11801610141992569,0.09948074072599411,2.49951171875,0.6716429591178894,0.0,0.001674636616371572,8.92457137524616e-06,0.00030517578125,0.0,0.0,0.0,0.0,0.0,0.35598212480545044,0.1704048365354538,0.01642889529466629,0.5030655264854431,1.0,0.0,0.0,1.0,0.0,1.0,0.33445008595784503,0.27432981133461,3.71307373046875,0.2658982475598653,0.021452789505322773,-0.04108735918998718
5,1.1931552120004199,182.487552,6.877841472625732,-0.1770494282245636,0.19774268567562103,2.49951171875,0.6815675497055054,0.0,0.0014717625454068184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35864514112472534,0.18267902731895447,0.02430512011051178,0.5029832124710083,0.0,0.0,0.0,0.0,0.0,0.0,0.3344402313232422,0.2944013178348541,3.8104044596354165,0.2658049861590068,0.021525715788205464,-0.040476828813552856
6,1.1904550300005212,182.487552,6.93143892288208,-0.20114603638648987,0.21670076251029968,2.49951171875,0.6868605613708496,0.0,0.0013084079837426543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378436803817749,0.14073872566223145,0.03367748484015465,0.5029832124710083,0.0,0.0,0.0,0.0,0.0,0.0,0.3341425657272339,0.2937566936016083,3.8562418619791665,0.26547221342722577,0.021596188346544903,-0.039683371782302856
7,1.1895116280002185,182.488064,6.877157211303711,-0.18815216422080994,0.18754391372203827,2.49951171875,0.6812496185302734,0.0,0.001150280237197876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39340561628341675,0.08498430252075195,0.04454889893531799,0.5029832124710083,0.0,0.0,0.0,0.0,0.0,0.0,0.3336547613143921,0.2958262860774994,3.8839111328125,0.2649821639060974,0.021664743622144062,-0.03878471255302429
8,1.190385783000238,182.488064,6.735653877258301,-0.1401682198047638,0.13379794359207153,2.49951171875,0.6668741703033447,0.0,0.0011366016697138548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38531047105789185,0.04206568002700806,0.05694150924682617,0.5029832124710083,0.0,0.0,0.0,0.0,0.0,0.0,0.3331721822420756,0.29623088240623474,3.8748982747395835,0.264548401037852,0.02171340584754944,-0.04323017597198486
9,1.190019358000427,182.488064,6.626284122467041,-0.0642179548740387,0.09395290166139603,2.49951171875,0.6556606292724609,0.0,0.0012487857602536678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36544322967529297,0.021965768188238144,0.07086692750453949,0.5029832124710083,0.0,0.0,0.0,0.0,0.0,0.0,0.332950234413147,0.29674017429351807,3.8651936848958335,0.2643493016560872,0.021796002984046936,-0.04398298263549805
