iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,2.452293242997257,101.259776,7.304618835449219,0.007162520661950111,0.015503310598433018,1.6103515625,0.7039066553115845,0.007874389179050922,8669.0,0.0
1,1.098402282994357,103.220736,7.500292778015137,0.025194678455591202,0.019919823855161667,1.60546875,0.7176164388656616,0.013613468036055565,8624.0,0.0
2,1.075147430994548,103.220736,7.883022785186768,0.044738586992025375,0.02487129345536232,1.4375,0.7465393543243408,0.019778843969106674,8841.0,0.0
3,1.09569637599634,103.220736,8.143196105957031,0.060079604387283325,0.029519181698560715,1.4052734375,0.7703866958618164,0.027023328468203545,8649.0,0.0
4,1.087210851997952,103.220736,8.651957511901855,0.09090589731931686,0.042900390923023224,1.3662109375,0.8101276159286499,0.0405026376247406,8658.0,0.0
5,1.1272217160003493,103.220736,9.2135648727417,0.12144316732883453,0.05808218941092491,1.353515625,0.8534641265869141,0.05735383927822113,8659.0,0.0
6,1.1224028380092932,103.220736,9.924582481384277,0.13495711982250214,0.062325239181518555,1.181640625,0.9125536680221558,0.0713355541229248,8867.0,0.0
7,1.106750919992919,103.220736,10.596939086914062,0.12669451534748077,0.03239956498146057,1.150390625,0.9800044894218445,0.07939016819000244,8657.0,0.0
8,1.1221874710026896,103.220736,11.030996322631836,0.10355236381292343,0.030695758759975433,1.07421875,1.0246261358261108,0.07809172570705414,8699.0,0.0
9,1.0975655619986355,103.220736,9.411927223205566,0.03170880302786827,0.05547528341412544,1.03125,0.8770626783370972,0.05571673437952995,8665.0,0.0
10,1.1479943989979802,103.220736,8.050333023071289,-0.014914454892277718,0.0617886558175087,0.9169921875,0.748288631439209,0.038912564516067505,8853.0,0.0
11,1.137502391997259,103.220736,7.913280010223389,-0.03090410865843296,0.062337975949048996,0.8994140625,0.7425364255905151,0.037674810737371445,8646.0,0.0
12,1.1117220270098187,103.220736,7.9633684158325195,0.003643237752839923,0.05700507387518883,0.8955078125,0.7435078620910645,0.0424310676753521,8630.0,0.0
13,1.2056889059895184,103.220736,7.961864471435547,0.03928662836551666,0.04073911905288696,0.8916015625,0.7389191389083862,0.04874715954065323,8652.0,0.0
14,1.2335781839938136,103.220736,7.9145708084106445,0.054406773298978806,0.027683652937412262,0.8095703125,0.728310763835907,0.05252034589648247,8870.0,0.0
15,1.2285038749978412,103.220736,7.821250915527344,0.045597441494464874,0.02720656991004944,0.7685546875,0.7262688875198364,0.05621485039591789,8672.0,0.0
16,1.2242566180066206,103.220736,7.870698928833008,0.053994402289390564,0.03058086894452572,0.76171875,0.7316489219665527,0.05891389772295952,8633.0,0.0
17,1.1614258180052275,103.220736,7.831421375274658,0.06445103883743286,0.036131568253040314,0.7236328125,0.7244223356246948,0.06431146711111069,8663.0,0.0
18,1.100562459003413,103.22176,7.938000202178955,0.06548765301704407,0.038009751588106155,0.654296875,0.7239174246788025,0.0701754242181778,8873.0,0.0
19,1.0913197930058232,103.22176,7.5823516845703125,0.048295728862285614,0.030372120440006256,0.650390625,0.7042728662490845,0.05992598086595535,8637.0,0.0
20,1.0972280639980454,103.22176,7.655422687530518,0.04806806519627571,0.030559953302145004,0.61328125,0.7118391394615173,0.053680047392845154,8692.0,0.0
21,1.090654341998743,103.22176,7.62945556640625,0.04447223246097565,0.02562258020043373,0.6083984375,0.7143353223800659,0.04515361785888672,8649.0,0.0
22,1.1390857199876336,103.22176,7.739641189575195,0.05075852572917938,0.022830989211797714,0.59375,0.7222213745117188,0.04783368110656738,8657.0,0.0
23,1.106856936996337,103.22176,7.654966831207275,0.03510688990354538,0.024083653464913368,0.5888671875,0.7174007296562195,0.04425662010908127,8866.0,0.0
24,1.10954377699818,103.22176,7.599305629730225,0.03488168492913246,0.02501378022134304,0.5869140625,0.712554931640625,0.04599219560623169,8633.0,0.0
25,1.117005620006239,103.22176,7.619118690490723,0.043031055480241776,0.028321709483861923,0.560546875,0.710612952709198,0.05212770029902458,8650.0,0.0
26,1.1306376230058959,103.22176,7.652302265167236,0.049283817410469055,0.027177169919013977,0.5537109375,0.7102071642875671,0.05644522234797478,8642.0,0.0
27,1.160020502997213,103.22176,7.60040283203125,0.04421481862664223,0.02599462866783142,0.5302734375,0.7014689445495605,0.0638539120554924,8864.0,0.0
28,1.1453624410060002,103.22176,7.500254154205322,0.029680734500288963,0.029027629643678665,0.509765625,0.6969376802444458,0.05579932779073715,8675.0,0.0
29,1.106592352007283,103.22176,7.566983699798584,0.03527817130088806,0.031942982226610184,0.505859375,0.7032658457756042,0.05790301784873009,8651.0,0.0
30,1.1063937110011466,103.22176,7.505218982696533,0.03518909960985184,0.026813240721821785,0.474609375,0.6978057622909546,0.050592370331287384,8698.0,0.0
31,1.1071042519906769,103.22176,7.363219261169434,0.01997056044638157,0.026492692530155182,0.4736328125,0.6888787150382996,0.04127650707960129,8849.0,0.0
32,1.098232314994675,103.22176,7.304303169250488,0.020158911123871803,0.030215786769986153,0.470703125,0.6853551864624023,0.04272373765707016,8630.0,0.0
33,1.0897720509965438,103.22176,7.43295955657959,0.02751290798187256,0.029349038377404213,0.4697265625,0.6965720653533936,0.04396525025367737,8654.0,0.0
34,1.099525719997473,103.22176,7.579390525817871,0.04720026254653931,0.03414563462138176,0.466796875,0.706652045249939,0.05014241859316826,8638.0,0.0
35,1.0971517730067717,103.22176,7.724508762359619,0.05823945254087448,0.048834484070539474,0.4638671875,0.7147390842437744,0.05685999244451523,8851.0,0.0
36,1.0904622599919094,103.22176,7.4287896156311035,0.03812481090426445,0.03491829335689545,0.4345703125,0.6926257014274597,0.04929584264755249,8707.0,0.0
37,1.1040240930014988,103.22176,7.498435974121094,0.03601507470011711,0.06034836918115616,0.43359375,0.7001981139183044,0.04763784259557724,8627.0,0.0
38,1.102313266004785,103.22176,7.743353366851807,0.045766573399305344,0.059104736894369125,0.4306640625,0.7197647094726562,0.05272243916988373,8666.0,0.0
39,1.0854718619957566,103.22176,7.662666320800781,0.0440954864025116,0.0766388326883316,0.40625,0.7110339403152466,0.04870665818452835,8873.0,0.0
40,1.1027695530065103,103.22176,7.452659606933594,0.03831007331609726,0.09566358476877213,0.400390625,0.6976379156112671,0.043302878737449646,8661.0,0.0
41,1.1119712329964386,103.22176,7.626889705657959,0.02884792909026146,0.03601352497935295,0.3984375,0.7155668139457703,0.04138284549117088,8631.0,0.0
42,1.1120132479991298,103.22176,7.998023509979248,0.025502841919660568,0.11444856971502304,0.3974609375,0.7457568049430847,0.04690524935722351,8627.0,0.0
43,1.0881074430071749,103.22176,8.066259384155273,0.03290632367134094,0.10422361642122269,0.3955078125,0.7433788180351257,0.050895195454359055,8906.0,0.0
44,1.0904325940064155,103.22176,7.320635795593262,0.014501351863145828,0.10479690134525299,0.39453125,0.6842074394226074,0.042180173099040985,8653.0,0.0
45,1.095214314002078,103.22176,7.782841205596924,0.02919839881360531,0.1412080079317093,0.39453125,0.7255195379257202,0.04632899910211563,8649.0,0.0
46,1.1083302600018214,103.22176,8.033757209777832,0.027029043063521385,0.09022223949432373,0.392578125,0.749681830406189,0.04607262834906578,8638.0,0.0
47,1.1040156870003557,103.22176,8.276090621948242,0.015905745327472687,0.0865803211927414,0.369140625,0.7649612426757812,0.05048121139407158,8876.0,0.0
48,1.1084020889975363,103.22176,7.534104347229004,0.004628949332982302,0.14021870493888855,0.3681640625,0.7040206789970398,0.04055602848529816,8659.0,0.0
49,1.1285928980069002,103.22176,7.735693454742432,0.012386780232191086,0.14027464389801025,0.3662109375,0.7216545343399048,0.04169069230556488,8631.0,0.0
50,1.1201160790078575,103.22176,8.086889266967773,0.0347367525100708,0.09851020574569702,0.365234375,0.7524887323379517,0.048113711178302765,8630.0,0.0
51,1.148150249995524,103.22176,8.106266021728516,0.0404200404882431,0.09957624226808548,0.3642578125,0.746222972869873,0.04927312955260277,8923.0,0.0
52,1.1780940760072554,103.22176,7.217563629150391,0.020294487476348877,0.16432781517505646,0.36328125,0.6715426445007324,0.041123103350400925,8637.0,0.0
53,1.1640553030010778,103.22176,7.4960618019104,0.020134737715125084,0.11460233479738235,0.3603515625,0.6973919868469238,0.043057411909103394,8661.0,0.0
54,1.177696045007906,103.22176,7.824801921844482,0.016185687854886055,0.04734328016638756,0.3603515625,0.7289761304855347,0.0438380241394043,8629.0,0.0
55,1.1885836029978236,103.22176,8.045347213745117,0.015129197388887405,0.10412256419658661,0.3564453125,0.7444453239440918,0.04417496174573898,8741.0,0.0
56,1.1837854949990287,103.22176,7.398301601409912,0.0013272212818264961,0.1192910298705101,0.3544921875,0.689433753490448,0.036385949701070786,8794.0,0.0
57,1.1930609379924135,103.22176,7.67860746383667,0.00968217197805643,0.12096814811229706,0.353515625,0.7140867114067078,0.04092172533273697,8631.0,0.0
58,1.1952654759952566,103.22176,8.060439109802246,0.028027497231960297,0.07410717755556107,0.3505859375,0.747839093208313,0.04560702294111252,8685.0,0.0
59,1.2015621280006599,103.22176,8.043394088745117,0.024342205375432968,0.07818138599395752,0.3505859375,0.7488431930541992,0.04132457822561264,8658.0,0.0
